FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted
100063.js,-1.0,-1.0,-1.0
100094.js,1.0,0.5,-1.0
100111.js,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0
100374.js,-1.0,-1.0,-1.0
100482.js,-1.0,-1.0,-1.0
100484.js,-1.0,-1.0,-1.0
100561.js,1.0,1.0,-1.0
100583.js,1.0,1.0,-1.0
100586.js,-1.0,-1.0,-1.0
100610.js,-1.0,-1.0,-1.0
100691.js,0.875,0.08620689655172414,0.625
100778.js,-1.0,-1.0,-1.0
100815.js,-1.0,-1.0,-1.0
100896.js,0.8571428571428571,0.038834951456310676,0.16666666666666666
101009.js,0.3333333333333333,0.019230769230769232,0.3333333333333333
101085.js,1.0,0.6666666666666666,-1.0
101196.js,1.0,1.0,-1.0
101223.js,1.0,0.041666666666666664,1.0
101529.js,1.0,0.041666666666666664,1.0
101576.js,0.3333333333333333,0.3333333333333333,-1.0
101606.js,1.0,1.0,-1.0
101611.js,-1.0,-1.0,-1.0
101709.js,1.0,0.0392156862745098,0.4
101800.js,1.0,0.04081632653061224,0.6666666666666666
102055.js,1.0,0.041666666666666664,1.0
102202.js,1.0,0.041666666666666664,1.0
102658.js,1.0,0.041666666666666664,1.0
102694.js,1.0,1.0,-1.0
10292.js,-1.0,-1.0,-1.0
102952.js,1.0,0.041666666666666664,1.0
103438.js,1.0,0.041666666666666664,1.0
103695.js,1.0,0.041666666666666664,1.0
10398.js,1.0,0.018518518518518517,0.125
104116.js,0.75,0.08928571428571429,0.17857142857142858
10414.js,-1.0,-1.0,-1.0
10415.js,-1.0,-1.0,-1.0
104155.js,0.7142857142857143,0.05263157894736842,0.3333333333333333
104359.js,0.8222222222222222,0.06696428571428571,-1.0
10485.js,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0
10899.js,-1.0,-1.0,-1.0
10931.js,-1.0,-1.0,-1.0
11062.js,0.7291666666666666,0.21705426356589147,0.42424242424242425
11216.js,-1.0,-1.0,-1.0
11427.js,0.8441558441558441,0.18404907975460122,-1.0
11429.js,0.8636363636363636,0.10294117647058823,0.30434782608695654
11761.js,0.7887323943661971,0.12643678160919541,-1.0
12012.js,-1.0,-1.0,-1.0
12208.js,-1.0,-1.0,-1.0
