FileName,jsjiami_unweighted,jsjiami_recover_unweighted
100063.js,-1.0,-1.0
100094.js,0.8333333333333334,-1.0
100111.js,-1.0,-1.0
100217.js,-1.0,-1.0
100374.js,-1.0,-1.0
100482.js,-1.0,-1.0
100484.js,-1.0,-1.0
100561.js,1.0,-1.0
100583.js,1.0,-1.0
100586.js,1.0,-1.0
100610.js,-1.0,-1.0
100691.js,0.26705838705062596,0.9148936170212766
100778.js,-1.0,-1.0
100815.js,1.0,-1.0
100896.js,0.39703253529313504,0.8309729975105054
101009.js,0.12793206052938005,0.6139406135149205
101085.js,0.8838834764831844,-1.0
101196.js,0.07106690545187015,-1.0
101223.js,0.11694106924093722,1.0
101529.js,0.1161495808278082,1.0
101576.js,1.0,-1.0
101606.js,0.7826237921249264,-1.0
101611.js,-1.0,-1.0
101709.js,0.13301364522388445,0.7267220926874316
101800.js,0.17194165290282745,0.9090909090909091
102055.js,0.116543309349613,1.0
102202.js,0.10144749970923667,1.0
102658.js,0.10144749970923667,1.0
102694.js,1.0,-1.0
10292.js,-1.0,-1.0
102952.js,0.10144749970923667,1.0
103438.js,0.10144749970923667,1.0
103695.js,0.10144749970923667,1.0
10398.js,0.2591561422215784,0.7469879518072289
104116.js,0.4811878539446276,0.8242114261986958
10414.js,-1.0,-1.0
10415.js,-1.0,-1.0
104155.js,0.20914176994993516,0.875
104359.js,0.4109080830734521,-1.0
10485.js,-1.0,-1.0
10884.js,-1.0,-1.0
10899.js,-1.0,-1.0
10931.js,-1.0,-1.0
11062.js,0.48251184261531477,0.8907121349249338
11216.js,-1.0,-1.0
11427.js,0.5098180390096814,0.7760513735449092
11429.js,0.3405343771841112,0.8381065430018891
11761.js,0.5477671090191187,-1.0
12012.js,-1.0,-1.0
12208.js,-1.0,-1.0
12224.js,0.2926594383029438,0.8345539714499836
12339.js,-1.0,-1.0
12476.js,-1.0,-1.0
1255.js,0.34406461373404634,-1.0
12699.js,-1.0,-1.0
1281.js,0.44881860085310193,-1.0
12896.js,-1.0,-1.0
13070.js,0.2009669677645352,1.0
13312.js,0.22335609907512335,0.8787878787878788
13547.js,1.0,-1.0
13575.js,0.3995796110241594,0.9035087719298246
13620.js,0.8333333333333334,-1.0
13628.js,0.3730208981385397,0.7192982456140351
13630.js,0.39421137165303055,-1.0
13693.js,0.2722178614686481,-1.0
13749.js,0.07959171834405433,0.4447495899966607
138.js,0.47617261385879955,0.8567907988016599
1407.js,0.4922680315458181,0.7217016472683898
14132.js,1.0,-1.0
14141.js,1.0,-1.0
14233.js,-1.0,-1.0
1432.js,0.4096017806472637,-1.0
1437.js,-1.0,-1.0
1460.js,0.37980614443319355,0.6380437452683623
14648.js,-1.0,-1.0
14977.js,1.0,-1.0
1503.js,0.2964762084494222,0.8251950023250776
15292.js,1.0,-1.0
15300.js,1.0,-1.0
15361.js,0.9230769230769231,-1.0
15580.js,1.0,-1.0
15783.js,1.0,-1.0
15855.js,1.0,-1.0
1587.js,0.41080228308078975,0.8282208588957055
1590.js,0.5416628788391784,-1.0
1616.js,0.47882805538396805,-1.0
16222.js,0.8181818181818182,-1.0
16434.js,0.7559289460184544,-1.0
17034.js,1.0,-1.0
17041.js,1.0,-1.0
1718.js,0.29025278323784254,0.763223966153332
17294.js,0.17018699970709428,0.3792913030681302
1732.js,0.204038288595018,0.7560975609756098
17569.js,0.07415039977600647,1.0
1776.js,0.3086410793260533,0.8970588235294118
1804.js,-1.0,-1.0
18204.js,-1.0,-1.0
18831.js,0.3117525984985953,0.6249458180848926
18887.js,0.32623338886357267,0.7269996757416942
19689.js,-1.0,-1.0
19732.js,0.21875736668406817,0.896551724137931
19764.js,0.3197743565355802,0.8970588235294118
19765.js,0.15391121883271508,0.7857142857142857
19772.js,0.15399404294122157,0.875
19847.js,0.2836487953378741,0.7940510210053551
19912.js,0.2623488518766749,0.9183673469387755
19946.js,0.17634217592923318,1.0
19970.js,0.26750354589865,0.8979591836734694
19985.js,0.2812866888022655,0.8813559322033898
20050.js,0.15287997627302952,0.7857142857142857
20087.js,0.303623945037278,0.9152542372881356
20134.js,0.24719436220938806,-1.0
20226.js,0.8571428571428571,-1.0
20252.js,1.0,-1.0
20268.js,0.18181818181818182,0.9
2044.js,-1.0,-1.0
20473.js,0.22061859933306033,0.5333964609104418
20524.js,0.18303234009578204,0.9
20564.js,0.11746905061969444,1.0
20750.js,0.20311111592559689,0.88
20837.js,0.2588158533262875,0.9285714285714286
2096.js,-1.0,-1.0
21.js,0.5008732600093693,0.7343672761645904
2101.js,-1.0,-1.0
21010.js,-1.0,-1.0
21071.js,1.0,-1.0
21163.js,1.0,-1.0
21166.js,0.2882223105754994,-1.0
21170.js,0.18303234009578204,-1.0
2125.js,-1.0,-1.0
21279.js,-1.0,-1.0
21436.js,0.12350804543889274,0.7777777777777778
21552.js,0.2530993768337576,0.8043478260869565
21736.js,0.1279085650051217,0.5797509043642028
21946.js,0.2530574939378307,0.7824607964359516
22499.js,0.2981939411483213,0.8572508572512859
22516.js,0.35364072007233643,0.871018097079164
22798.js,-1.0,-1.0
22829.js,1.0,-1.0
22857.js,-1.0,-1.0
22918.js,1.0,-1.0
22924.js,-1.0,-1.0
22986.js,1.0,-1.0
2324.js,0.3223291856101521,0.8888888888888888
23429.js,-1.0,-1.0
23809.js,1.0,-1.0
23866.js,1.0,-1.0
23895.js,1.0,-1.0
24270.js,0.4605732781121567,0.8750155014039855
24292.js,0.2262741699796952,0.8125
24340.js,1.0,-1.0
24371.js,0.2388562285974099,-1.0
24506.js,0.9583333333333334,-1.0
24860.js,0.423183532672978,-1.0
24862.js,0.41662799726521665,-1.0
24907.js,0.47337611761594184,-1.0
24913.js,0.36442765773905716,0.8417835891742346
2496.js,0.11694106924093722,1.0
25001.js,-1.0,-1.0
2614.js,0.12309149097933274,1.0
26541.js,-1.0,-1.0
2656.js,0.23436574429758616,0.9117647058823529
27002.js,-1.0,-1.0
27178.js,-1.0,-1.0
27182.js,-1.0,-1.0
27245.js,-1.0,-1.0
27247.js,-1.0,-1.0
27598.js,0.37762402042252163,0.8548665088582426
27724.js,0.3446969696969697,0.8660254037844387
27838.js,0.30497280088727335,0.882448366790893
27846.js,0.3031893189224432,0.882448366790893
27880.js,0.3077080377164062,0.882448366790893
27891.js,0.3058764259813489,0.882448366790893
27902.js,0.30497280088727335,0.882448366790893
28298.js,0.32756920994133026,0.8781140799175228
28473.js,0.30497280088727335,0.882448366790893
28688.js,0.3058764259813489,0.882448366790893
28808.js,0.30407713727651015,0.882448366790893
28877.js,0.30497280088727335,0.882448366790893
28976.js,0.30497280088727335,0.882448366790893
29012.js,0.3058764259813489,0.882448366790893
29132.js,0.3077080377164062,0.882448366790893
29148.js,0.3363499860730087,0.8571946154145231
29213.js,0.3067881312103652,0.882448366790893
29258.js,0.30497280088727335,0.882448366790893
29294.js,0.30407713727651015,0.882448366790893
29386.js,0.30497280088727335,0.882448366790893
29408.js,0.30407713727651015,0.882448366790893
29474.js,0.30407713727651015,0.882448366790893
29533.js,0.3266372899592439,0.8781140799175228
29540.js,0.3067881312103652,0.882448366790893
29567.js,0.3067881312103652,0.882448366790893
29651.js,0.3058764259813489,0.882448366790893
29704.js,0.3058764259813489,0.882448366790893
29838.js,-1.0,-1.0
2985.js,0.32452911878007223,1.0
29861.js,-1.0,-1.0
29913.js,-1.0,-1.0
29975.js,-1.0,-1.0
29986.js,-1.0,-1.0
300.js,-1.0,-1.0
30124.js,-1.0,-1.0
30293.js,-1.0,-1.0
30361.js,-1.0,-1.0
30370.js,-1.0,-1.0
30375.js,-1.0,-1.0
30403.js,-1.0,-1.0
30415.js,-1.0,-1.0
30510.js,-1.0,-1.0
3062.js,0.15137125538162835,1.0
30712.js,-1.0,-1.0
30719.js,-1.0,-1.0
30771.js,-1.0,-1.0
30860.js,-1.0,-1.0
30876.js,-1.0,-1.0
30894.js,-1.0,-1.0
30959.js,-1.0,-1.0
30978.js,-1.0,-1.0
31344.js,-1.0,-1.0
31377.js,-1.0,-1.0
31386.js,-1.0,-1.0
31487.js,-1.0,-1.0
31552.js,-1.0,-1.0
31615.js,-1.0,-1.0
3174.js,0.13495154882327703,1.0
31854.js,-1.0,-1.0
32013.js,-1.0,-1.0
32116.js,-1.0,-1.0
32164.js,-1.0,-1.0
32188.js,-1.0,-1.0
32279.js,-1.0,-1.0
32369.js,-1.0,-1.0
32515.js,-1.0,-1.0
32551.js,-1.0,-1.0
32556.js,-1.0,-1.0
32626.js,-1.0,-1.0
32745.js,-1.0,-1.0
32747.js,-1.0,-1.0
3284.js,0.12920716240994556,1.0
32843.js,-1.0,-1.0
32846.js,-1.0,-1.0
32896.js,-1.0,-1.0
33023.js,-1.0,-1.0
33031.js,-1.0,-1.0
33046.js,-1.0,-1.0
33261.js,-1.0,-1.0
33341.js,-1.0,-1.0
33370.js,-1.0,-1.0
33397.js,-1.0,-1.0
33427.js,-1.0,-1.0
33489.js,-1.0,-1.0
3354.js,0.12350804543889274,1.0
33586.js,-1.0,-1.0
33599.js,-1.0,-1.0
33613.js,-1.0,-1.0
33634.js,-1.0,-1.0
33835.js,-1.0,-1.0
33895.js,-1.0,-1.0
3391.js,0.10910894511799618,1.0
34023.js,-1.0,-1.0
34055.js,-1.0,-1.0
34209.js,-1.0,-1.0
34265.js,-1.0,-1.0
34292.js,-1.0,-1.0
34322.js,-1.0,-1.0
34401.js,-1.0,-1.0
34522.js,-1.0,-1.0
34526.js,-1.0,-1.0
34534.js,-1.0,-1.0
34553.js,-1.0,-1.0
34602.js,-1.0,-1.0
34620.js,-1.0,-1.0
34631.js,-1.0,-1.0
3465.js,0.40916732620908225,1.0
34651.js,-1.0,-1.0
34848.js,-1.0,-1.0
34903.js,-1.0,-1.0
34939.js,-1.0,-1.0
34947.js,-1.0,-1.0
35296.js,-1.0,-1.0
35349.js,-1.0,-1.0
35400.js,-1.0,-1.0
35504.js,-1.0,-1.0
35540.js,-1.0,-1.0
3558.js,0.37469634504939797,0.8867924528301887
35829.js,-1.0,-1.0
35855.js,-1.0,-1.0
35958.js,-1.0,-1.0
35993.js,-1.0,-1.0
36135.js,-1.0,-1.0
36317.js,-1.0,-1.0
36371.js,-1.0,-1.0
36376.js,-1.0,-1.0
36511.js,-1.0,-1.0
36516.js,-1.0,-1.0
3653.js,0.17052612684096136,1.0
3659.js,0.10910894511799618,1.0
36637.js,-1.0,-1.0
36662.js,-1.0,-1.0
36903.js,-1.0,-1.0
37088.js,-1.0,-1.0
37159.js,-1.0,-1.0
3717.js,0.19112739302699863,1.0
3718.js,0.21081851067789195,1.0
37277.js,-1.0,-1.0
37464.js,-1.0,-1.0
37503.js,-1.0,-1.0
37610.js,-1.0,-1.0
37699.js,-1.0,-1.0
37864.js,-1.0,-1.0
37998.js,-1.0,-1.0
38001.js,-1.0,-1.0
3801.js,0.32749888626487245,1.0
38031.js,-1.0,-1.0
38090.js,-1.0,-1.0
38102.js,-1.0,-1.0
38161.js,-1.0,-1.0
38177.js,-1.0,-1.0
38295.js,-1.0,-1.0
38411.js,-1.0,-1.0
38472.js,-1.0,-1.0
38577.js,-1.0,-1.0
38607.js,-1.0,-1.0
38617.js,-1.0,-1.0
3873.js,0.11694106924093722,1.0
38760.js,0.32756920994133026,0.8781140799175228
38786.js,0.3025285350226602,0.882448366790893
38807.js,0.3320559910209471,0.8706484898697716
38815.js,0.3079393102313675,0.882448366790893
38823.js,0.3077080377164062,0.882448366790893
3884.js,0.14646550861729,1.0
38872.js,0.30497280088727335,0.882448366790893
38970.js,0.30497280088727335,0.882448366790893
39025.js,0.3031893189224432,0.882448366790893
3924.js,0.17334959899709632,0.9444444444444444
39278.js,0.3459425012870811,0.8600430032252687
39287.js,0.4537728163180689,0.795537731773687
39463.js,0.3058764259813489,0.882448366790893
3949.js,0.12920716240994556,1.0
39563.js,0.3058764259813489,0.882448366790893
39575.js,0.30497280088727335,0.882448366790893
39641.js,0.3282771369265292,0.8706484898697716
39657.js,0.3031893189224432,0.882448366790893
39685.js,0.3077080377164062,0.882448366790893
39689.js,0.33302127210093746,0.8706484898697716
39795.js,0.3058764259813489,0.882448366790893
39835.js,0.30497280088727335,0.882448366790893
39845.js,0.3058764259813489,0.882448366790893
39953.js,0.3058764259813489,0.882448366790893
39987.js,0.30497280088727335,0.882448366790893
40095.js,0.30497280088727335,0.882448366790893
40133.js,0.3464892583948149,0.854409201118679
40172.js,0.3058764259813489,0.882448366790893
40283.js,0.3058764259813489,0.882448366790893
4041.js,0.45302680152229685,-1.0
40486.js,0.30863626919962633,0.882448366790893
40512.js,0.33015034549452155,0.8706484898697716
4075.js,0.5587792261308431,-1.0
40938.js,0.30497280088727335,0.882448366790893
40984.js,0.30497280088727335,0.882448366790893
41114.js,0.3031893189224432,0.882448366790893
41351.js,0.3067881312103652,0.882448366790893
41427.js,0.30497280088727335,0.882448366790893
41525.js,0.3077080377164062,0.882448366790893
4165.js,0.4408151518252677,-1.0
41703.js,0.30497280088727335,0.882448366790893
41746.js,0.30497280088727335,0.882448366790893
41759.js,0.3058764259813489,0.882448366790893
41785.js,0.33015034549452155,0.8706484898697716
41931.js,0.32735241076015753,0.8706484898697716
41949.js,0.30497280088727335,0.882448366790893
42393.js,0.3282771369265292,0.8706484898697716
42462.js,0.3058764259813489,0.882448366790893
42466.js,0.30497280088727335,0.882448366790893
42622.js,0.3285091522175248,0.8781140799175228
42641.js,0.30407713727651015,0.882448366790893
42720.js,0.3058764259813489,0.882448366790893
42722.js,0.30407713727651015,0.882448366790893
42892.js,0.3058764259813489,0.882448366790893
42984.js,0.3077080377164062,0.882448366790893
43082.js,0.3058764259813489,0.882448366790893
43405.js,0.3266372899592439,0.8781140799175228
43492.js,0.3067881312103652,0.882448366790893
43566.js,0.3034105442849113,0.882448366790893
43851.js,0.3058764259813489,0.882448366790893
43891.js,0.30497280088727335,0.882448366790893
43898.js,0.3058764259813489,0.882448366790893
43931.js,0.3058764259813489,0.882448366790893
43981.js,0.3031893189224432,0.882448366790893
44079.js,0.30497280088727335,0.882448366790893
44114.js,0.3058764259813489,0.882448366790893
44122.js,0.32756920994133026,0.8781140799175228
44139.js,0.3051979561788414,0.882448366790893
