improve,nice,recover_nice,name,,,
-1,-1,-1,100063.js,,,
0,0,0,100094.js,,,
-1,-1,-1,100111.js,,,
-1,-1,-1,100217.js,,,
-1,-1,-1,100374.js,,,
-1,-1,-1,100482.js,,,
-1,-1,-1,100484.js,,,
0,0,0,100561.js,,,
0,0,0,100583.js,,,
-1,0,-1,100586.js,,,
-1,-1,-1,100610.js,,,
0,0,0,100691.js,,,
-1,-1,-1,100778.js,,,
-1,0,-1,100815.js,,,
0,0,0,100896.js,,,
0,0,0,101009.js,,,
0,0,0,101085.js,,,
0,0,0,101196.js,,,
0,0,0,101223.js,,,
0,0,0,101529.js,,,
-1,-1,-1,101576.js,,,
0,0,0,101606.js,,,
-1,-1,-1,101611.js,,,
0,0,0,101709.js,,,
0,0,0,101800.js,,,
0,0,0,102055.js,,,
0,0,0,102202.js,,,
0,0,0,102658.js,,,
0,0,0,102694.js,,,
-1,-1,-1,10292.js,,,
0,0,0,102952.js,,,
0,0,0,103438.js,,,
0,0,0,103695.js,,,
0,0,0,10398.js,,,
-1,-1,-1,104116.js,,,
-1,-1,-1,10414.js,,,
-1,-1,-1,10415.js,,,
0,0,0,104155.js,,,
0,0.038961039,0.04,104359.js,,,
-1,-1,-1,10485.js,,,
-1,-1,-1,10884.js,,,
-1,-1,-1,10899.js,,,
-1,-1,-1,10931.js,,,
0,0,0,11062.js,,,
-1,-1,-1,11216.js,,,
0,0.018181818,0.009345794,11427.js,,,
0,0.071428571,0,11429.js,,,
0,0,0,11761.js,,,
-1,-1,-1,12012.js,,,
-1,-1,-1,12208.js,,,
0,0,0,12224.js,,,
-1,-1,-1,12339.js,,,
-1,-1,-1,12476.js,,,
0,0,0,1255.js,,,
-1,-1,-1,12699.js,,,
-1,-1,-1,1281.js,,,
-1,-1,-1,12896.js,,,
0,0,0,13070.js,,,
0,0.0625,0,13312.js,,,
0,0,0,13547.js,,,
0,0,0,13575.js,,,
-1,-1,-1,13620.js,,,
-1,-1,-1,13628.js,,,
-1,-1,-1,13630.js,,,
0,0,0,13693.js,,,
0,0,0,13749.js,,,
0,0.052631579,0.056603774,138.js,,,
0,0.022727273,0.024096386,1407.js,,,
0,0,0,14132.js,,,
0,0,0,14141.js,,,
-1,-1,-1,14233.js,,,
0,0,0,1432.js,,,
-1,-1,-1,1437.js,,,
0,0,0,1460.js,,,
-1,-1,-1,14648.js,,,
0,0,0,14977.js,,,
-1,-1,-1,1503.js,,,
0,0,0,15292.js,,,
-1,0,-1,15300.js,,,
0,0.071428571,0.2,15361.js,,,
0,0,0,15580.js,,,
-1,-1,-1,15783.js,,,
0,0,0,15855.js,,,
0,0.03030303,0.037037037,1587.js,,,
-1,-1,-1,1590.js,,,
0,0.020408163,0.020833333,1616.js,,,
0,0,0,16222.js,,,
0,0,0,16434.js,,,
-1,-1,-1,17034.js,,,improve Ê Ê Ê Ê 0.000053
-1,-1,-1,17041.js,,,niceÊ Ê Ê Ê Ê Ê 0.040494
0,0,0,1718.js,,,recover_niceÊ Ê 0.044996
0,0,0,17294.js,,,
0,0,0,1732.js,,,
0,0,0,17569.js,,,
0,0,0,1776.js,,,
-1,-1,-1,1804.js,,,
-1,-1,-1,18204.js,,,
0,0,0,18831.js,,,
0,0.052631579,0.033333333,18887.js,,,
-1,-1,-1,19689.js,,,
0,0,0,19732.js,,,
0,0,0,19764.js,,,
0,0,0,19765.js,,,
0,0,0,19772.js,,,
0,0,0,19847.js,,,
0,0,0,19912.js,,,
0,0,0,19946.js,,,
0,0.05,0,19970.js,,,
0,0,0,19985.js,,,
0,0,0,20050.js,,,
0,0,0,20087.js,,,
-1,-1,-1,20134.js,,,
-1,-1,-1,20226.js,,,
0,0,0,20252.js,,,
0,0,0,20268.js,,,
-1,-1,-1,2044.js,,,
0,0,0,20473.js,,,
0,0,0,20524.js,,,
0,0,0,20564.js,,,
0,0.0625,0,20750.js,,,
0,0,0,20837.js,,,
-1,-1,-1,2096.js,,,
0,0.011904762,0.012658228,21.js,,,
-1,-1,-1,2101.js,,,
-1,-1,-1,21010.js,,,
0,0,0,21071.js,,,
0,0,0,21163.js,,,
0,0,0,21166.js,,,
0,0,0,21170.js,,,
-1,-1,-1,2125.js,,,
-1,-1,-1,21279.js,,,
0,0,0,21436.js,,,
0,0,0,21552.js,,,
0,0,0,21736.js,,,
0,0,0,21946.js,,,
0,0.043478261,0,22499.js,,,
0,0.035714286,0,22516.js,,,
-1,-1,-1,22798.js,,,
0,0,0,22829.js,,,
-1,-1,-1,22857.js,,,
0,0,0,22918.js,,,
-1,-1,-1,22924.js,,,
-1,-1,-1,22986.js,,,
0,0,0,2324.js,,,
-1,-1,-1,23429.js,,,
0,0,0,23809.js,,,
0,0,0,23866.js,,,
0,0,0,23895.js,,,
0,0,0,24270.js,,,
0,0,0,24292.js,,,
0,0,0,24340.js,,,
0,0,0,24371.js,,,
0,0,0,24506.js,,,
0,0,0,24860.js,,,
0,0.010638298,0,24862.js,,,
0,0.026143791,0.026666667,24907.js,,,
0,0.024390244,0.028571429,24913.js,,,
0,0,0,2496.js,,,
-1,-1,-1,25001.js,,,
0,0,0,2614.js,,,
-1,-1,-1,26541.js,,,
0,0,0,2656.js,,,
-1,-1,-1,27002.js,,,
-1,-1,-1,27178.js,,,
-1,-1,-1,27182.js,,,
-1,-1,-1,27245.js,,,
-1,-1,-1,27247.js,,,
0,0.052631579,0,27598.js,,,
0,0.052631579,0,27724.js,,,
0,0.052631579,0,27838.js,,,
0,0.052631579,0,27846.js,,,
0,0.052631579,0,27880.js,,,
0,0.052631579,0,27891.js,,,
0,0.052631579,0,27902.js,,,
0,0.052631579,0,28298.js,,,
0,0.052631579,0,28473.js,,,
0,0.052631579,0,28688.js,,,
0,0.052631579,0,28808.js,,,
0,0.052631579,0,28877.js,,,
0,0.052631579,0,28976.js,,,
0,0.052631579,0,29012.js,,,
0,0.052631579,0,29132.js,,,
0,0.043478261,0,29148.js,,,
0,0.052631579,0,29213.js,,,
0,0.052631579,0,29258.js,,,
0,0.052631579,0,29294.js,,,
0,0.052631579,0,29386.js,,,
0,0.052631579,0,29408.js,,,
0,0.052631579,0,29474.js,,,
0,0.052631579,0,29533.js,,,
0,0.052631579,0,29540.js,,,
0,0.052631579,0,29567.js,,,
0,0.052631579,0,29651.js,,,
0,0.052631579,0,29704.js,,,
-1,-1,-1,29838.js,,,
0,0,0,2985.js,,,
-1,-1,-1,29861.js,,,
-1,-1,-1,29913.js,,,
-1,-1,-1,29975.js,,,
-1,-1,-1,29986.js,,,
-1,-1,-1,300.js,,,
-1,-1,-1,30124.js,,,
-1,-1,-1,30293.js,,,
-1,-1,-1,30361.js,,,
-1,-1,-1,30370.js,,,
-1,-1,-1,30375.js,,,
-1,-1,-1,30403.js,,,
-1,-1,-1,30415.js,,,
-1,-1,-1,30510.js,,,
0,0,0,3062.js,,,
-1,-1,-1,30712.js,,,
-1,-1,-1,30719.js,,,
-1,-1,-1,30771.js,,,
-1,-1,-1,30860.js,,,
-1,-1,-1,30876.js,,,
-1,-1,-1,30894.js,,,
-1,-1,-1,30959.js,,,
-1,-1,-1,30978.js,,,
-1,-1,-1,31344.js,,,
-1,-1,-1,31377.js,,,
-1,-1,-1,31386.js,,,
-1,-1,-1,31487.js,,,
-1,-1,-1,31552.js,,,
-1,-1,-1,31615.js,,,
0,0,0,3174.js,,,
-1,-1,-1,31854.js,,,
-1,-1,-1,32013.js,,,
-1,-1,-1,32116.js,,,
-1,-1,-1,32164.js,,,
-1,-1,-1,32188.js,,,
-1,-1,-1,32279.js,,,
-1,-1,-1,32369.js,,,
-1,-1,-1,32515.js,,,
-1,-1,-1,32551.js,,,
-1,-1,-1,32556.js,,,
-1,-1,-1,32626.js,,,
-1,-1,-1,32745.js,,,
-1,-1,-1,32747.js,,,
0,0,0,3284.js,,,
-1,-1,-1,32843.js,,,
-1,-1,-1,32846.js,,,
-1,-1,-1,32896.js,,,
-1,-1,-1,33023.js,,,
-1,-1,-1,33031.js,,,
-1,-1,-1,33046.js,,,
-1,-1,-1,33261.js,,,
-1,-1,-1,33341.js,,,
-1,-1,-1,33370.js,,,
-1,-1,-1,33397.js,,,
-1,-1,-1,33427.js,,,
-1,-1,-1,33489.js,,,
0,0,0,3354.js,,,
-1,-1,-1,33586.js,,,
-1,-1,-1,33599.js,,,
-1,-1,-1,33613.js,,,
-1,-1,-1,33634.js,,,
-1,-1,-1,33835.js,,,
-1,-1,-1,33895.js,,,
0,0,0,3391.js,,,
-1,-1,-1,34023.js,,,
-1,-1,-1,34055.js,,,
-1,-1,-1,34209.js,,,
-1,-1,-1,34265.js,,,
-1,-1,-1,34292.js,,,
-1,-1,-1,34322.js,,,
-1,-1,-1,34401.js,,,
-1,-1,-1,34522.js,,,
-1,-1,-1,34526.js,,,
-1,-1,-1,34534.js,,,
-1,-1,-1,34553.js,,,
-1,-1,-1,34602.js,,,
-1,-1,-1,34620.js,,,
-1,-1,-1,34631.js,,,
0,0,0,3465.js,,,
-1,-1,-1,34651.js,,,
-1,-1,-1,34848.js,,,
-1,-1,-1,34903.js,,,
-1,-1,-1,34939.js,,,
-1,-1,-1,34947.js,,,
-1,-1,-1,35296.js,,,
-1,-1,-1,35349.js,,,
-1,-1,-1,35400.js,,,
-1,-1,-1,35504.js,,,
-1,-1,-1,35540.js,,,
0,0,0,3558.js,,,
-1,-1,-1,35829.js,,,
-1,-1,-1,35855.js,,,
-1,-1,-1,35958.js,,,
-1,-1,-1,35993.js,,,
-1,-1,-1,36135.js,,,
-1,-1,-1,36317.js,,,
-1,-1,-1,36371.js,,,
-1,-1,-1,36376.js,,,
-1,-1,-1,36511.js,,,
-1,-1,-1,36516.js,,,
0,0,0,3653.js,,,
0,0,0,3659.js,,,
-1,-1,-1,36637.js,,,
-1,-1,-1,36662.js,,,
-1,-1,-1,36903.js,,,
-1,-1,-1,37088.js,,,
-1,-1,-1,37159.js,,,
0,0,0,3717.js,,,
0,0,0,3718.js,,,
-1,-1,-1,37277.js,,,
-1,-1,-1,37464.js,,,
-1,-1,-1,37503.js,,,
-1,-1,-1,37610.js,,,
-1,-1,-1,37699.js,,,
-1,-1,-1,37864.js,,,
-1,-1,-1,37998.js,,,
-1,-1,-1,38001.js,,,
0,0,0,3801.js,,,
-1,-1,-1,38031.js,,,
-1,-1,-1,38090.js,,,
-1,-1,-1,38102.js,,,
-1,-1,-1,38161.js,,,
-1,-1,-1,38177.js,,,
-1,-1,-1,38295.js,,,
-1,-1,-1,38411.js,,,
-1,-1,-1,38472.js,,,
-1,-1,-1,38577.js,,,
-1,-1,-1,38607.js,,,
-1,-1,-1,38617.js,,,
0,0,0,3873.js,,,
0,0.052631579,0,38760.js,,,
0,0.052631579,0,38786.js,,,
0,0.05,0,38807.js,,,
0,0.052631579,0,38815.js,,,
0,0.052631579,0,38823.js,,,
0,0,0,3884.js,,,
0,0.052631579,0,38872.js,,,
0,0.052631579,0,38970.js,,,
