FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
100691.js,0.875,0.086206897,0.625,,,
100896.js,0.857142857,0.038834951,0.166666667,,,
101009.js,0.333333333,0.019230769,0.333333333,,,
101223.js,1,0.041666667,1,,,
101529.js,1,0.041666667,1,,,
101709.js,1,0.039215686,0.4,,,480
101800.js,1,0.040816327,0.666666667,,,rename_unweighted Ê Ê Ê Ê Ê Ê 0.854074
102055.js,1,0.041666667,1,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê 0.084308
102202.js,1,0.041666667,1,,,jsjiami_recover_unweightedÊ Ê 0.456918
102658.js,1,0.041666667,1,,,
102952.js,1,0.041666667,1,,,
103438.js,1,0.041666667,1,,,
103695.js,1,0.041666667,1,,,
10398.js,1,0.018518519,0.125,,,
104116.js,0.75,0.089285714,0.178571429,,,
104155.js,0.714285714,0.052631579,0.333333333,,,
11062.js,0.729166667,0.217054264,0.424242424,,,
11429.js,0.863636364,0.102941176,0.304347826,,,
12224.js,0.846153846,0.116666667,0.466666667,,,
13070.js,0.5,0.018518519,0.2,,,
13312.js,1,0.056603774,0.428571429,,,
13575.js,1,0.140350877,0.727272727,,,
13628.js,1,0.080645161,0.3125,,,
13749.js,1,0.06,0.75,,,
138.js,0.694444444,0.08411215,0.1875,,,
1407.js,0.4875,0.070422535,0.12345679,,,
1460.js,0.916666667,0.068493151,0.185185185,,,
1503.js,0.714285714,0.106060606,0.333333333,,,
1587.js,0.875,0.078947368,0.214285714,,,
1718.js,0.866666667,0.083333333,0.333333333,,,
17294.js,1,0.02,0.25,,,
1732.js,1,0.068965517,0.307692308,,,
17569.js,0,0,0,,,
1776.js,0.571428571,0.084507042,0.260869565,,,
18831.js,0.466666667,0.075949367,0.217391304,,,
18887.js,0.555555556,0.08,0.208333333,,,
19732.js,1,0.113207547,0.857142857,,,
19764.js,0.692307692,0.081967213,0.333333333,,,
19765.js,1,0.058823529,0.6,,,
19772.js,0.6,0.019607843,0.2,,,
19847.js,1,0.083333333,0.357142857,,,
19912.js,0.777777778,0.071428571,0.4,,,
19946.js,0.6,0.056603774,0.6,,,
19970.js,0.818181818,0.089285714,0.454545455,,,
19985.js,0.833333333,0.055555556,0.375,,,
20050.js,1,0.058823529,0.6,,,
20087.js,0.615384615,0.06779661,0.307692308,,,
20268.js,0.5,0.02,0.25,,,
20473.js,0.333333333,0.018181818,0.111111111,,,
20524.js,0.6,0.019607843,0.2,,,
20564.js,1,0.06122449,1,,,
20750.js,1,0.092592593,0.625,,,
20837.js,0.6,0.111111111,0.75,,,
21.js,0.58490566,0.035294118,0.063157895,,,
21436.js,1,0.04,0.5,,,
21552.js,1,0.054545455,0.333333333,,,
21736.js,1,0.057692308,0.5,,,
21946.js,1,0.076923077,0.571428571,,,
22499.js,0.928571429,0.084745763,0.384615385,,,
22516.js,0.8125,0.112903226,0.4375,,,
2324.js,1,0.053571429,0.272727273,,,
24270.js,1,0.157894737,0.818181818,,,
24292.js,1,0.039215686,0.333333333,,,
2496.js,1,0.021276596,1,,,
2614.js,1,0.021276596,1,,,
2656.js,1,0.058823529,0.5,,,
27598.js,1,0.122807018,0.583333333,,,
27724.js,1,0.122807018,0.583333333,,,
27838.js,1,0.125,0.636363636,,,
27846.js,1,0.125,0.636363636,,,
27880.js,1,0.125,0.636363636,,,
27891.js,1,0.125,0.636363636,,,
27902.js,1,0.125,0.636363636,,,
28298.js,1,0.125,0.636363636,,,
28473.js,1,0.125,0.636363636,,,
28688.js,1,0.125,0.636363636,,,
28808.js,1,0.125,0.636363636,,,
28877.js,1,0.125,0.636363636,,,
28976.js,1,0.125,0.636363636,,,
29012.js,1,0.125,0.636363636,,,
29132.js,1,0.125,0.636363636,,,
29148.js,1,0.116666667,0.466666667,,,
29213.js,1,0.125,0.636363636,,,
29258.js,1,0.125,0.636363636,,,
29294.js,1,0.125,0.636363636,,,
29386.js,1,0.125,0.636363636,,,
29408.js,1,0.125,0.636363636,,,
29474.js,1,0.125,0.636363636,,,
29533.js,1,0.125,0.636363636,,,
29540.js,1,0.125,0.636363636,,,
29567.js,1,0.125,0.636363636,,,
29651.js,1,0.125,0.636363636,,,
29704.js,1,0.125,0.636363636,,,
2985.js,1,0.021276596,1,,,
3062.js,1,0.021276596,1,,,
3174.js,1,0.021276596,1,,,
3284.js,1,0.021276596,1,,,
3354.js,1,0.021276596,1,,,
3391.js,1,0.021276596,1,,,
3465.js,1,0.021276596,1,,,
3558.js,1,0.05,0.2,,,
3653.js,1,0.021276596,1,,,
3659.js,1,0.021276596,1,,,
3717.js,1,0.021276596,1,,,
3718.js,1,0.021276596,1,,,
3801.js,1,0.021276596,1,,,
3873.js,1,0.021276596,1,,,
38760.js,1,0.125,0.636363636,,,
38786.js,1,0.125,0.636363636,,,
38807.js,1,0.122807018,0.583333333,,,
38815.js,1,0.125,0.636363636,,,
38823.js,1,0.125,0.636363636,,,
3884.js,1,0.021276596,1,,,
38872.js,1,0.125,0.636363636,,,
38970.js,1,0.125,0.636363636,,,
39025.js,1,0.125,0.636363636,,,
3924.js,1,0.06122449,0.75,,,
39278.js,1,0.118644068,0.5,,,
39287.js,0.627906977,0.097345133,0.211538462,,,
39463.js,1,0.125,0.636363636,,,
3949.js,1,0.021276596,1,,,
39563.js,1,0.125,0.636363636,,,
39575.js,1,0.125,0.636363636,,,
39641.js,1,0.122807018,0.583333333,,,
39657.js,1,0.125,0.636363636,,,
39685.js,1,0.125,0.636363636,,,
39689.js,1,0.122807018,0.583333333,,,
39795.js,1,0.125,0.636363636,,,
39835.js,1,0.125,0.636363636,,,
39845.js,1,0.125,0.636363636,,,
39953.js,1,0.125,0.636363636,,,
39987.js,1,0.125,0.636363636,,,
40095.js,1,0.125,0.636363636,,,
40133.js,1,0.116666667,0.466666667,,,
40172.js,1,0.125,0.636363636,,,
40283.js,1,0.125,0.636363636,,,
40486.js,1,0.125,0.636363636,,,
40512.js,1,0.122807018,0.583333333,,,
40938.js,1,0.125,0.636363636,,,
40984.js,1,0.125,0.636363636,,,
41114.js,1,0.125,0.636363636,,,
41351.js,1,0.125,0.636363636,,,
41427.js,1,0.125,0.636363636,,,
41525.js,1,0.125,0.636363636,,,
