FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_recover_unweighted
100063.js,-1,-1,-1,-1,-1
100094.js,0.168231646,0.175863115,0.17912443,0.093250481,0.645497224
100111.js,-1,-1,-1,-1,-1
100217.js,-1,-1,-1,-1,-1
100374.js,-1,-1,-1,-1,-1
100482.js,-1,-1,-1,-1,-1
100484.js,-1,-1,-1,-1,-1
100561.js,0.163082018,-1,0.17251639,0.068100522,0.230089497
100583.js,0.198516667,-1,0.211406569,0.094216833,0.294627825
100586.js,0.110431526,-1,0.118678166,0.026919095,-1
100610.js,-1,-1,-1,-1,-1
100691.js,0.395004264,-1,0.420461066,0.216566428,0.538143205
100778.js,-1,-1,-1,-1,-1
100815.js,0.100503782,-1,0.107520666,0.026919095,-1
100896.js,0.446166242,-1,0.443863124,0.279661827,0.587980242
101009.js,0.211761775,0.219793491,0.227038305,0.120385853,1
101085.js,0.251285356,0.223606798,0.268437746,0.104690711,0.614918694
101196.js,0.021481794,0.02228836,0.022727273,0.011478341,0.071066905
101223.js,0.195646395,0.179075579,0.202547873,0.094216833,0.612372436
101529.js,0.206284249,0.161280999,0.220192753,0.094216833,0.612372436
101576.js,1,-1,-1,0.100722031,1
101606.js,0.353553391,-1,0.400891863,0.038069349,0.353553391
101611.js,-1,-1,-1,-1,-1
101709.js,0.222165426,0.21374115,0.235779781,0.104690711,0.639602149
101800.js,0.270054241,0.222815967,0.283613681,0.121746188,0.475327076
102055.js,0.199007438,0.156385811,0.20519567,0.094216833,0.782623792
102202.js,0.17631813,0.153429103,0.185695338,0.077708734,0.721687836
102658.js,0.183597018,0.191273014,0.193046836,0.077708734,1
102694.js,0.17912443,0.186771842,0.187867287,0.077708734,0.721687836
10292.js,-1,-1,-1,-1,-1
102952.js,0.181071492,0.157018573,0.193046836,0.077708734,0.721687836
103438.js,0.18156826,0.188982237,0.19245009,0.077708734,0.721687836
103695.js,0.172773685,0.150482316,0.180090068,0.077708734,0.721687836
10398.js,0.389007489,-1,0.403299643,0.075215771,0.538842731
104116.js,0.538390028,-1,-1,0.424790711,0.700357138
10414.js,-1,-1,-1,-1,-1
10415.js,-1,-1,-1,-1,-1
104155.js,0.334076552,-1,0.347430791,0.174974118,0.595879572
104359.js,0.460899847,-1,0.46612459,0.456381794,0.570438268
10485.js,-1,-1,-1,-1,-1
10884.js,-1,-1,-1,-1,-1
10899.js,-1,-1,-1,-1,-1
10931.js,-1,-1,-1,-1,-1
11062.js,0.604278778,-1,0.625142524,0.2603043,0.748442099
11216.js,-1,-1,-1,-1,-1
11427.js,0.566458195,-1,-1,0.449082429,0.658981105
11429.js,0.478227871,-1,0.528450027,0.251608789,0.648485512
11761.js,0.55605238,-1,0.576237852,0.371345865,0.660186624
12012.js,-1,-1,-1,-1,-1
12208.js,-1,-1,-1,-1,-1
12224.js,0.456573525,-1,0.484042891,0.213857405,0.621059003
12339.js,-1,-1,-1,-1,-1
12476.js,-1,-1,-1,-1,-1
1255.js,0.484282376,-1,0.513534922,0.293839006,0.694916246
12699.js,-1,-1,-1,-1,-1
1281.js,0.50907447,-1,0.528424342,0.298439137,0.606791388
12896.js,-1,-1,-1,-1,-1
13070.js,0.272353163,0.281105689,0.342594355,0.144663528,0.959166305
13312.js,0.353015143,0.355057535,0.385318504,0.159048554,0.301511345
13547.js,0.363803438,-1,1,0.076138699,1
13575.js,0.477458874,-1,0.555112066,0.260283051,0.695379487
13620.js,0.227982335,0.237342519,0.23867967,0.109896746,0.833333333
13628.js,0.419504471,0.433187545,0.487680265,0.320896912,0.586781385
13630.js,0.460140957,-1,-1,0.34188557,0.56851896
13693.js,0.406558514,0.4114756,-1,0.202042708,0.878543041
13749.js,0.135928737,0.141594844,0.145517881,0.073909765,0.283189688
138.js,0.547745163,-1,-1,0.439019658,0.694778957
1407.js,0.466828494,-1,0.512472854,0.473707068,0.512607108
14132.js,1,-1,1,0.077708734,1
14141.js,1,-1,1,0.077708734,1
14233.js,-1,-1,-1,-1,-1
1432.js,0.493460338,-1,0.528680533,0.43677803,0.605295514
1437.js,-1,-1,-1,-1,-1
1460.js,0.418621895,0.436335718,0.471118635,0.304623753,0.537118587
14648.js,-1,-1,-1,-1,-1
14977.js,0.452267017,-1,1,0.10767638,1
1503.js,0.415901366,-1,0.446819748,0.275598034,0.725567071
15292.js,1,-1,1,0.076138699,1
15300.js,0.105117666,-1,0.113960576,0.026919095,-1
15361.js,0.237124516,0.246702685,0.251588361,0.137260991,0.923076923
15580.js,1,-1,1,0.057104024,1
15783.js,0.571428571,-1,-1,0.071944308,0.571428571
15855.js,1,-1,-1,0.067297738,1
1587.js,0.497910971,-1,-1,0.336945838,0.597758719
1590.js,0.554145691,-1,-1,0.289388827,-1
1616.js,0.516340993,-1,-1,0.590144616,0.607678142
16222.js,0.204545455,0.213200716,0.21254572,0.022956681,0.818181818
16434.js,0.755928946,-1,1,0.014388862,0.755928946
