FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted
100063.js,-1.0,-1.0,-1.0
100094.js,1.0,1.0,-1.0
100111.js,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0
100374.js,-1.0,-1.0,-1.0
100482.js,-1.0,-1.0,-1.0
100484.js,-1.0,-1.0,-1.0
100561.js,1.0,1.0,-1.0
100583.js,1.0,1.0,-1.0
100586.js,1.0,1.0,-1.0
100610.js,-1.0,-1.0,-1.0
100691.js,1.0,1.6,1.0
100778.js,-1.0,-1.0,-1.0
100815.js,1.0,1.0,-1.0
100896.js,1.0,1.2307692307692308,1.0
101009.js,1.0,4.0,1.0
101085.js,1.0,1.0,-1.0
101196.js,1.0,1.0,-1.0
101223.js,1.0,4.0,1.0
101529.js,1.0,4.0,1.0
101576.js,1.0,1.0,-1.0
101606.js,1.0,1.0,-1.0
101611.js,-1.0,-1.0,-1.0
101709.js,1.0,4.0,1.0
101800.js,1.0,2.5,1.0
102055.js,1.0,4.0,1.0
102202.js,1.0,4.0,1.0
102658.js,1.0,4.0,1.0
102694.js,1.0,1.0,-1.0
10292.js,-1.0,-1.0,-1.0
102952.js,1.0,4.0,1.0
103438.js,1.0,4.0,1.0
103695.js,1.0,4.0,1.0
10398.js,1.0,2.5,1.0
104116.js,1.0,1.4285714285714286,1.0
10414.js,-1.0,-1.0,-1.0
10415.js,-1.0,-1.0,-1.0
104155.js,1.0,1.75,1.0
104359.js,1.0,2.0,-1.0
10485.js,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0
10899.js,-1.0,-1.0,-1.0
10931.js,-1.0,-1.0,-1.0
11062.js,1.0,1.2,1.0
11216.js,-1.0,-1.0,-1.0
11427.js,1.0,1.1578947368421053,-1.0
11429.js,1.0,1.5,1.0
11761.js,1.0,1.2307692307692308,-1.0
12012.js,-1.0,-1.0,-1.0
12208.js,-1.0,-1.0,-1.0
12224.js,1.0,1.4285714285714286,1.0
12339.js,-1.0,-1.0,-1.0
12476.js,-1.0,-1.0,-1.0
1255.js,1.0,1.5,-1.0
12699.js,-1.0,-1.0,-1.0
1281.js,1.0,2.0,-1.0
12896.js,-1.0,-1.0,-1.0
13070.js,1.0,4.0,1.0
13312.js,1.0,2.5,1.0
13547.js,1.0,1.0,-1.0
13575.js,1.0,1.2142857142857142,1.0
13620.js,1.0,1.0,-1.0
13628.js,1.0,1.2727272727272727,1.0
13630.js,1.0,1.2307692307692308,-1.0
13693.js,1.0,1.75,-1.0
13749.js,1.0,4.0,1.0
138.js,1.0,1.5,1.0
1407.js,1.0,1.375,1.0
14132.js,1.0,1.0,-1.0
14141.js,1.0,1.0,-1.0
14233.js,-1.0,-1.0,-1.0
1432.js,1.0,1.6,-1.0
1437.js,-1.0,-1.0,-1.0
1460.js,1.0,4.0,1.0
14648.js,-1.0,-1.0,-1.0
14977.js,1.0,1.0,-1.0
1503.js,1.0,2.0,1.0
15292.js,1.0,1.0,-1.0
15300.js,1.0,1.0,-1.0
15361.js,1.0,1.0,-1.0
15580.js,1.0,1.0,-1.0
15783.js,1.0,1.0,-1.0
15855.js,1.0,1.0,-1.0
1587.js,1.0,2.0,1.0
1590.js,1.0,1.1428571428571428,-1.0
1616.js,1.0,1.6,-1.0
16222.js,1.0,1.0,-1.0
16434.js,1.0,1.0,-1.0
17034.js,1.0,1.0,-1.0
17041.js,1.0,1.0,-1.0
1718.js,1.0,1.75,1.0
17294.js,1.0,4.0,1.0
1732.js,1.0,2.5,1.0
17569.js,1.0,4.0,1.0
1776.js,1.0,2.0,1.0
1804.js,-1.0,-1.0,-1.0
18204.js,-1.0,-1.0,-1.0
18831.js,1.0,4.0,1.0
18887.js,1.0,4.0,1.0
19689.js,-1.0,-1.0,-1.0
19732.js,1.0,1.6,1.0
19764.js,1.0,2.5,1.0
19765.js,1.0,2.5,1.0
19772.js,1.0,4.0,1.0
19847.js,1.0,1.4285714285714286,1.0
19912.js,1.0,1.75,1.0
19946.js,1.0,4.0,1.0
19970.js,1.0,2.0,1.0
19985.js,1.0,2.0,1.0
20050.js,1.0,2.5,1.0
20087.js,1.0,2.5,1.0
20134.js,1.0,2.5,-1.0
20226.js,1.0,1.0,-1.0
20252.js,1.0,1.0,-1.0
20268.js,1.0,4.0,1.0
2044.js,-1.0,-1.0,-1.0
20473.js,1.0,4.0,1.0
20524.js,1.0,4.0,1.0
20564.js,1.0,4.0,1.0
20750.js,1.0,4.0,1.0
20837.js,1.0,4.0,1.0
2096.js,-1.0,-1.0,-1.0
21.js,1.0,2.5,1.0
2101.js,-1.0,-1.0,-1.0
21010.js,-1.0,-1.0,-1.0
21071.js,1.0,1.0,-1.0
21163.js,1.0,1.0,-1.0
21166.js,1.0,2.0,-1.0
21170.js,1.0,2.5,-1.0
2125.js,-1.0,-1.0,-1.0
21279.js,-1.0,-1.0,-1.0
21436.js,1.0,4.0,1.0
21552.js,1.0,2.5,1.0
21736.js,1.0,2.5,1.0
21946.js,1.0,1.75,1.0
22499.js,1.0,2.0,1.0
22516.js,1.0,2.5,1.0
22798.js,-1.0,-1.0,-1.0
22829.js,1.0,1.0,-1.0
22857.js,-1.0,-1.0,-1.0
22918.js,1.0,1.0,-1.0
22924.js,-1.0,-1.0,-1.0
22986.js,1.0,1.0,-1.0
2324.js,1.0,1.3,1.0
23429.js,-1.0,-1.0,-1.0
23809.js,1.0,1.0,-1.0
23866.js,1.0,1.0,-1.0
23895.js,1.0,1.0,-1.0
24270.js,1.0,1.2,1.0
24292.js,1.0,1.375,1.0
24340.js,1.0,1.0,-1.0
24371.js,1.0,1.5,-1.0
24506.js,1.0,1.0,-1.0
24860.js,1.0,4.0,-1.0
24862.js,1.0,4.0,-1.0
24907.js,1.0,1.6,-1.0
24913.js,1.0,2.5,-1.0
2496.js,1.0,4.0,1.0
25001.js,-1.0,-1.0,-1.0
2614.js,1.0,4.0,1.0
26541.js,-1.0,-1.0,-1.0
2656.js,1.0,1.6,1.0
27002.js,-1.0,-1.0,-1.0
27178.js,-1.0,-1.0,-1.0
27182.js,-1.0,-1.0,-1.0
27245.js,-1.0,-1.0,-1.0
27247.js,-1.0,-1.0,-1.0
27598.js,1.0,1.375,1.0
27724.js,1.0,1.375,1.0
27838.js,1.0,1.375,1.0
27846.js,1.0,1.375,1.0
27880.js,1.0,1.375,1.0
27891.js,1.0,1.375,1.0
27902.js,1.0,1.375,1.0
28298.js,1.0,1.375,1.0
28473.js,1.0,1.375,1.0
28688.js,1.0,1.375,1.0
28808.js,1.0,1.375,1.0
28877.js,1.0,1.375,1.0
28976.js,1.0,1.375,1.0
29012.js,1.0,1.375,1.0
29132.js,1.0,1.375,1.0
29148.js,1.0,1.375,1.0
29213.js,1.0,1.375,1.0
29258.js,1.0,1.375,1.0
29294.js,1.0,1.375,1.0
29386.js,1.0,1.375,1.0
29408.js,1.0,1.375,1.0
29474.js,1.0,1.375,1.0
29533.js,1.0,1.375,1.0
29540.js,1.0,1.375,1.0
29567.js,1.0,1.375,1.0
29651.js,1.0,1.375,1.0
29704.js,1.0,1.375,1.0
29838.js,-1.0,-1.0,-1.0
2985.js,1.0,4.0,1.0
29861.js,-1.0,-1.0,-1.0
29913.js,-1.0,-1.0,-1.0
29975.js,-1.0,-1.0,-1.0
29986.js,-1.0,-1.0,-1.0
300.js,-1.0,-1.0,-1.0
30124.js,-1.0,-1.0,-1.0
30293.js,-1.0,-1.0,-1.0
30361.js,-1.0,-1.0,-1.0
30370.js,-1.0,-1.0,-1.0
30375.js,-1.0,-1.0,-1.0
30403.js,-1.0,-1.0,-1.0
30415.js,-1.0,-1.0,-1.0
30510.js,-1.0,-1.0,-1.0
3062.js,1.0,4.0,1.0
30712.js,-1.0,-1.0,-1.0
30719.js,-1.0,-1.0,-1.0
