FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
100691.js,0,0.6,0,,,
100896.js,0,0.230769231,0,,,
101009.js,0,3,0,,,
101223.js,0,3,0,,,
101529.js,0,3,0,,,480
101709.js,0,3,0,,,rename_unweighted Ê Ê Ê Ê Ê Ê 0.000818
101800.js,0,1.5,0,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê 1.222160
102055.js,0,3,0,,,jsjiami_recover_unweightedÊ Ê 0.000000
102202.js,0,3,0,,,
102658.js,0,3,0,,,
102952.js,0,3,0,,,
103438.js,0,3,0,,,
103695.js,0,3,0,,,
10398.js,0,1.5,0,,,
104116.js,0,0.428571429,0,,,
104155.js,0,0.75,0,,,
11062.js,0,0.2,0,,,
11429.js,0,0.5,0,,,
12224.js,0,0.428571429,0,,,
13070.js,0,3,0,,,
13312.js,0,1.5,0,,,
13575.js,0,0.214285714,0,,,
13628.js,0,0.272727273,0,,,
13749.js,0,3,0,,,
138.js,0,0.5,0,,,
1407.js,0,0.375,0,,,
1460.js,0,3,0,,,
1503.js,0,1,0,,,
1587.js,0,1,0,,,
1718.js,0,0.75,0,,,
17294.js,0,3,0,,,
1732.js,0,1.5,0,,,
17569.js,0,3,0,,,
1776.js,0,1,0,,,
18831.js,0,3,0,,,
18887.js,0,3,0,,,
19732.js,0,0.6,0,,,
19764.js,0,1.5,0,,,
19765.js,0,1.5,0,,,
19772.js,0,3,0,,,
19847.js,0,0.428571429,0,,,
19912.js,0,0.75,0,,,
19946.js,0,3,0,,,
19970.js,0,1,0,,,
19985.js,0,1,0,,,
20050.js,0,1.5,0,,,
20087.js,0,1.5,0,,,
20268.js,0,3,0,,,
20473.js,0,3,0,,,
20524.js,0,3,0,,,
20564.js,0,3,0,,,
20750.js,0,3,0,,,
20837.js,0,3,0,,,
21.js,0,1.5,0,,,
21436.js,0,3,0,,,
21552.js,0,1.5,0,,,
21736.js,0,1.5,0,,,
21946.js,0,0.75,0,,,
22499.js,0,1,0,,,
22516.js,0,1.5,0,,,
2324.js,0,0.3,0,,,
24270.js,0,0.2,0,,,
24292.js,0,0.375,0,,,
2496.js,0,3,0,,,
2614.js,0,3,0,,,
2656.js,0,0.6,0,,,
27598.js,0,0.375,0,,,
27724.js,0,0.375,0,,,
27838.js,0,0.375,0,,,
27846.js,0,0.375,0,,,
27880.js,0,0.375,0,,,
27891.js,0,0.375,0,,,
27902.js,0,0.375,0,,,
28298.js,0,0.375,0,,,
28473.js,0,0.375,0,,,
28688.js,0,0.375,0,,,
28808.js,0,0.375,0,,,
28877.js,0,0.375,0,,,
28976.js,0,0.375,0,,,
29012.js,0,0.375,0,,,
29132.js,0,0.375,0,,,
29148.js,0,0.375,0,,,
29213.js,0,0.375,0,,,
29258.js,0,0.375,0,,,
29294.js,0,0.375,0,,,
29386.js,0,0.375,0,,,
29408.js,0,0.375,0,,,
29474.js,0,0.375,0,,,
29533.js,0,0.375,0,,,
29540.js,0,0.375,0,,,
29567.js,0,0.375,0,,,
29651.js,0,0.375,0,,,
29704.js,0,0.375,0,,,
2985.js,0,3,0,,,
3062.js,0,3,0,,,
3174.js,0,3,0,,,
3284.js,0,3,0,,,
3354.js,0,3,0,,,
3391.js,0,3,0,,,
3465.js,0,3,0,,,
3558.js,0,0.214285714,0,,,
3653.js,0,3,0,,,
3659.js,0,3,0,,,
3717.js,0,3,0,,,
3718.js,0,3,0,,,
3801.js,0,3,0,,,
3873.js,0,3,0,,,
38760.js,0,0.375,0,,,
38786.js,0,0.375,0,,,
38807.js,0,0.375,0,,,
38815.js,0,0.375,0,,,
38823.js,0,0.375,0,,,
3884.js,0,3,0,,,
38872.js,0,0.375,0,,,
38970.js,0,0.375,0,,,
39025.js,0,0.375,0,,,
3924.js,0,1,0,,,
39278.js,0,0.375,0,,,
39287.js,0,0.272727273,0,,,
39463.js,0,0.375,0,,,
3949.js,0,3,0,,,
39563.js,0,0.375,0,,,
39575.js,0,0.375,0,,,
39641.js,0,0.375,0,,,
39657.js,0,0.375,0,,,
39685.js,0,0.375,0,,,
39689.js,0,0.375,0,,,
39795.js,0,0.375,0,,,
39835.js,0,0.375,0,,,
39845.js,0,0.375,0,,,
39953.js,0,0.375,0,,,
39987.js,0,0.375,0,,,
40095.js,0,0.375,0,,,
40133.js,0,0.375,0,,,
40172.js,0,0.375,0,,,
40283.js,0,0.375,0,,,
40486.js,0,0.375,0,,,
40512.js,0,0.375,0,,,
40938.js,0,0.375,0,,,
40984.js,0,0.375,0,,,
41114.js,0,0.375,0,,,
41351.js,0,0.375,0,,,
41427.js,0,0.375,0,,,
41525.js,0,0.375,0,,,
41703.js,0,0.375,0,,,
41746.js,0,0.375,0,,,
41759.js,0,0.375,0,,,
41785.js,0,0.375,0,,,
41931.js,0,0.375,0,,,
41949.js,0,0.375,0,,,
42393.js,0,0.375,0,,,
42462.js,0,0.375,0,,,
42466.js,0,0.375,0,,,
42622.js,0,0.375,0,,,
42641.js,0,0.375,0,,,
42720.js,0,0.375,0,,,
42722.js,0,0.375,0,,,
42892.js,0,0.375,0,,,
42984.js,0,0.375,0,,,
43082.js,0,0.375,0,,,
43405.js,0,0.375,0,,,
43492.js,0,0.375,0,,,
43566.js,0,0.375,0,,,
43851.js,0,0.375,0,,,
43891.js,0,0.375,0,,,
43898.js,0,0.375,0,,,
43931.js,0,0.375,0,,,
43981.js,0,0.375,0,,,
44079.js,0,0.375,0,,,
44114.js,0,0.375,0,,,
44122.js,0,0.375,0,,,
44139.js,0,0.375,0,,,
44169.js,0,0.375,0,,,
44293.js,0,0.375,0,,,
44333.js,0,0.375,0,,,
44354.js,0,0.272727273,0,,,
44431.js,0,0.375,0,,,
44471.js,0,0.375,0,,,
44473.js,0,0.375,0,,,
44518.js,0,0.375,0,,,
44553.js,0,0.375,0,,,
44575.js,0,0.375,0,,,
44576.js,0,0.375,0,,,
44624.js,0,0.375,0,,,
44685.js,0,0.375,0,,,
44963.js,0,0.375,0,,,
45063.js,0,0.375,0,,,
45101.js,0,0.375,0,,,
45107.js,0,0.375,0,,,
45154.js,0,0.375,0,,,
45220.js,0,0.375,0,,,
45243.js,0,0.375,0,,,
45324.js,0,0.375,0,,,
45333.js,0,0.375,0,,,
46432.js,0,1.5,0,,,
4654.js,0,1.5,0,,,
47154.js,0,0.6,0,,,
47289.js,0,3,0,,,
47656.js,0,3,0,,,
49340.js,0,3,0,,,
49662.js,0,3,0,,,
50453.js,0,3,0,,,
50529.js,0,3,0,,,
50562.js,0,3,0,,,
50570.js,0,3,0,,,
50605.js,0,3,0,,,
50674.js,0,3,0,,,
51042.js,0,0.428571429,0,,,
51051.js,0,0.75,0,,,
51153.js,0,0.5,0,,,
51297.js,0,0.6,0,,,
51515.js,0,0.6,0,,,
51803.js,0,3,0,,,
51903.js,0,3,0,,,
