FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
100063.js,-1.0,-1.0,-1.0,-1.0
100094.js,1.0,4.0,1.0,1.0
100111.js,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0,-1.0
100374.js,-1.0,-1.0,-1.0,-1.0
100482.js,-1.0,-1.0,-1.0,-1.0
100484.js,-1.0,-1.0,-1.0,-1.0
100561.js,1.0,2.5,1.0,1.0
100583.js,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666
100586.js,1.0,4.0,0.0,0.0
100610.js,-1.0,-1.0,-1.0,-1.0
100691.js,1.0,1.2,0.2,0.4
100778.js,-1.0,-1.0,-1.0,-1.0
100815.js,1.0,4.0,0.0,0.0
100896.js,1.0,0.6923076923076923,0.38461538461538464,0.38461538461538464
101009.js,1.0,4.0,1.0,1.0
101085.js,1.0,2.0,0.5,0.5
101196.js,1.0,3.0,1.0,1.0
101223.js,1.0,4.0,1.0,1.0
101529.js,1.0,4.0,1.0,1.0
101576.js,1.0,1.0,1.0,1.0
101606.js,1.0,1.0,1.0,1.0
101611.js,-1.0,-1.0,-1.0,-1.0
101709.js,1.0,4.0,1.0,1.0
101800.js,1.0,2.0,0.5,0.5
102055.js,1.0,4.0,1.0,1.0
102202.js,1.0,4.0,1.0,1.0
102658.js,1.0,3.0,1.0,1.0
102694.js,1.0,3.0,1.0,1.0
10292.js,-1.0,-1.0,-1.0,-1.0
102952.js,1.0,4.0,1.0,1.0
103438.js,1.0,3.0,1.0,1.0
103695.js,1.0,4.0,1.0,1.0
10398.js,1.0,3.0,1.0,0.5
104116.js,1.0,1.0,0.2857142857142857,0.42857142857142855
10414.js,-1.0,-1.0,-1.0,-1.0
10415.js,-1.0,-1.0,-1.0,-1.0
104155.js,1.0,1.75,1.0,1.0
104359.js,1.0,2.0,1.0,1.0
10485.js,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0,-1.0
10899.js,-1.0,-1.0,-1.0,-1.0
10931.js,-1.0,-1.0,-1.0,-1.0
11062.js,1.0,0.4666666666666667,0.13333333333333333,0.2
11216.js,-1.0,-1.0,-1.0,-1.0
11427.js,1.0,0.3684210526315789,0.15789473684210525,0.10526315789473684
11429.js,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666
11761.js,1.0,0.6923076923076923,0.38461538461538464,0.3076923076923077
12012.js,-1.0,-1.0,-1.0,-1.0
12208.js,-1.0,-1.0,-1.0,-1.0
12224.js,1.0,1.0,0.42857142857142855,0.42857142857142855
12339.js,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,-1.0,-1.0,-1.0
1255.js,1.0,1.3333333333333333,0.8333333333333334,0.6666666666666666
12699.js,-1.0,-1.0,-1.0,-1.0
1281.js,1.0,2.0,1.0,0.6666666666666666
12896.js,-1.0,-1.0,-1.0,-1.0
13070.js,1.0,4.0,1.0,1.0
13312.js,1.0,3.0,1.0,0.5
13547.js,1.0,1.0,1.0,1.0
13575.js,1.0,0.6428571428571429,0.42857142857142855,0.35714285714285715
13620.js,1.0,4.0,1.0,1.0
13628.js,1.0,0.7272727272727273,0.45454545454545453,0.36363636363636365
13630.js,1.0,0.7692307692307693,0.46153846153846156,0.46153846153846156
13693.js,1.0,1.25,0.25,0.25
13749.js,1.0,5.0,2.0,2.0
138.js,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666
1407.js,1.0,0.875,0.25,0.375
14132.js,1.0,1.0,1.0,1.0
14141.js,1.0,1.0,1.0,1.0
14233.js,-1.0,-1.0,-1.0,-1.0
1432.js,1.0,1.2,0.6,0.6
1437.js,-1.0,-1.0,-1.0,-1.0
1460.js,1.0,4.0,1.0,1.0
14648.js,-1.0,-1.0,-1.0,-1.0
14977.js,1.0,1.0,1.0,1.0
1503.js,1.0,2.0,1.0,0.6666666666666666
15292.js,1.0,1.0,1.0,1.0
15300.js,1.0,4.0,0.0,0.0
15361.js,1.0,3.0,1.0,1.0
15580.js,1.0,1.0,1.0,1.0
15783.js,1.0,1.0,1.0,1.0
15855.js,1.0,1.0,1.0,1.0
1587.js,1.0,2.0,0.6666666666666666,1.0
1590.js,1.0,0.2857142857142857,-1.0,-1.0
1616.js,1.0,1.2,0.6,0.4
16222.js,1.0,4.0,1.0,1.0
16434.js,1.0,1.0,1.0,1.0
17034.js,1.0,1.0,1.0,1.0
17041.js,1.0,1.0,1.0,1.0
1718.js,1.0,1.5,0.5,0.5
17294.js,1.0,1.0,1.0,1.0
1732.js,1.0,3.0,1.5,1.5
17569.js,1.0,3.0,1.0,1.0
