FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
100094.js,1,4,1,1,,,
100561.js,1,2.5,1,1,,,
100583.js,1,1.666666667,0.333333333,0.666666667,,,
100586.js,1,4,0,0,,,664
100691.js,1,1.2,0.2,0.4,,,rename_unweighted Ê Ê Ê Ê Ê Ê Ê Ê 0.998062
100815.js,1,4,0,0,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê Ê Ê 2.007471
100896.js,1,0.692307692,0.384615385,0.384615385,,,jsjiami_recover_unweighted_oldÊ Ê 0.722828
101009.js,1,4,1,1,,,jsjiami_recover_unweightedÊ Ê Ê Ê 0.712453
101085.js,1,2,0.5,0.5,,,
101196.js,1,3,1,1,,,
101223.js,1,4,1,1,,,
101529.js,1,4,1,1,,,
101576.js,1,1,1,1,,,
101606.js,1,1,1,1,,,
101709.js,1,4,1,1,,,
101800.js,1,2,0.5,0.5,,,
102055.js,1,4,1,1,,,
102202.js,1,4,1,1,,,
102658.js,1,3,1,1,,,
102694.js,1,3,1,1,,,
102952.js,1,4,1,1,,,
103438.js,1,3,1,1,,,
103695.js,1,4,1,1,,,
10398.js,1,3,1,0.5,,,
104116.js,1,1,0.285714286,0.428571429,,,
104155.js,1,1.75,1,1,,,
104359.js,1,2,1,1,,,
11062.js,1,0.466666667,0.133333333,0.2,,,
11427.js,1,0.368421053,0.157894737,0.105263158,,,
11429.js,1,1.333333333,0.666666667,0.666666667,,,
11761.js,1,0.692307692,0.384615385,0.307692308,,,
12224.js,1,1,0.428571429,0.428571429,,,
1255.js,1,1.333333333,0.833333333,0.666666667,,,
1281.js,1,2,1,0.666666667,,,
13070.js,1,4,1,1,,,
13312.js,1,3,1,0.5,,,
13547.js,1,1,1,1,,,
13575.js,1,0.642857143,0.428571429,0.357142857,,,
13620.js,1,4,1,1,,,
13628.js,1,0.727272727,0.454545455,0.363636364,,,
13630.js,1,0.769230769,0.461538462,0.461538462,,,
13693.js,1,1.25,0.25,0.25,,,
13749.js,1,5,2,2,,,
138.js,1,1.333333333,0.666666667,0.666666667,,,
1407.js,1,0.875,0.25,0.375,,,
14132.js,1,1,1,1,,,
14141.js,1,1,1,1,,,
1432.js,1,1.2,0.6,0.6,,,
1460.js,1,4,1,1,,,
14977.js,1,1,1,1,,,
1503.js,1,2,1,0.666666667,,,
15292.js,1,1,1,1,,,
15300.js,1,4,0,0,,,
15361.js,1,3,1,1,,,
15580.js,1,1,1,1,,,
15783.js,1,1,1,1,,,
15855.js,1,1,1,1,,,
1587.js,1,2,0.666666667,1,,,
1616.js,1,1.2,0.6,0.4,,,
16222.js,1,4,1,1,,,
16434.js,1,1,1,1,,,
17034.js,1,1,1,1,,,
17041.js,1,1,1,1,,,
1718.js,1,1.5,0.5,0.5,,,
17294.js,1,1,1,1,,,
1732.js,1,3,1.5,1.5,,,
17569.js,1,3,1,1,,,
1776.js,1,2,0.666666667,1,,,
18831.js,1,4,1,1,,,
18887.js,1,4,1,1,,,
19732.js,1,1.2,0.6,0.2,,,
19764.js,1,2.5,0.5,0.5,,,
19765.js,1,3,1.5,1.5,,,
19772.js,1,5,1,1,,,
19847.js,1,1.428571429,0.857142857,0.857142857,,,
19912.js,1,2,1,1,,,
19946.js,1,4,1,1,,,
19970.js,1,2,0.666666667,0.333333333,,,
19985.js,1,2.333333333,1.333333333,1,,,
20050.js,1,3,1.5,1.5,,,
20087.js,1,2,0.5,0.5,,,
20134.js,1,2.5,0.5,0.5,,,
20226.js,1,4,1,1,,,
20252.js,1,4,1,1,,,
