FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
100094.js,0,3,0,0,,,
100561.js,0,1.5,0,0,,,
100583.js,0,0.666666667,0.666666667,0.333333333,,,
100586.js,0,3,1,1,,,
100691.js,0,0.2,0.8,0.6,,,
100815.js,0,3,1,1,,,664
100896.js,0,0.307692308,0.615384615,0.615384615,,,rename_unweighted Ê Ê Ê Ê Ê Ê Ê Ê 0.001938
101009.js,0,3,0,0,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê Ê Ê 1.121390
101085.js,0,1,0.5,0.5,,,jsjiami_recover_unweighted_oldÊ Ê 0.311467
101196.js,0,2,0,0,,,jsjiami_recover_unweightedÊ Ê Ê Ê 0.318077
101223.js,0,3,0,0,,,
101529.js,0,3,0,0,,,
101576.js,0,0,0,0,,,
101606.js,0,0,0,0,,,
101709.js,0,3,0,0,,,
101800.js,0,1,0.5,0.5,,,
102055.js,0,3,0,0,,,
102202.js,0,3,0,0,,,
102658.js,0,2,0,0,,,
102694.js,0,2,0,0,,,
102952.js,0,3,0,0,,,
103438.js,0,2,0,0,,,
103695.js,0,3,0,0,,,
10398.js,0,2,0,0.5,,,
104116.js,0,0,0.714285714,0.571428571,,,
104155.js,0,0.75,0,0,,,
104359.js,0,1,0,0,,,
11062.js,0,0.533333333,0.866666667,0.8,,,
11427.js,0,0.631578947,0.842105263,0.894736842,,,
11429.js,0,0.333333333,0.333333333,0.333333333,,,
11761.js,0,0.307692308,0.615384615,0.692307692,,,
12224.js,0,0,0.571428571,0.571428571,,,
1255.js,0,0.333333333,0.166666667,0.333333333,,,
1281.js,0,1,0,0.333333333,,,
13070.js,0,3,0,0,,,
13312.js,0,2,0,0.5,,,
13547.js,0,0,0,0,,,
13575.js,0,0.357142857,0.571428571,0.642857143,,,
13620.js,0,3,0,0,,,
13628.js,0,0.272727273,0.545454545,0.636363636,,,
13630.js,0,0.230769231,0.538461538,0.538461538,,,
13693.js,0,0.25,0.75,0.75,,,
13749.js,0,4,1,1,,,
138.js,0,0.333333333,0.333333333,0.333333333,,,
1407.js,0,0.125,0.75,0.625,,,
14132.js,0,0,0,0,,,
14141.js,0,0,0,0,,,
1432.js,0,0.2,0.4,0.4,,,
1460.js,0,3,0,0,,,
14977.js,0,0,0,0,,,
1503.js,0,1,0,0.333333333,,,
15292.js,0,0,0,0,,,
15300.js,0,3,1,1,,,
15361.js,0,2,0,0,,,
15580.js,0,0,0,0,,,
15783.js,0,0,0,0,,,
15855.js,0,0,0,0,,,
1587.js,0,1,0.333333333,0,,,
1616.js,0,0.2,0.4,0.6,,,
16222.js,0,3,0,0,,,
16434.js,0,0,0,0,,,
17034.js,0,0,0,0,,,
17041.js,0,0,0,0,,,
1718.js,0,0.5,0.5,0.5,,,
17294.js,0,0,0,0,,,
1732.js,0,2,0.5,0.5,,,
17569.js,0,2,0,0,,,
1776.js,0,1,0.333333333,0,,,
18831.js,0,3,0,0,,,
18887.js,0,3,0,0,,,
19732.js,0,0.2,0.4,0.8,,,
19764.js,0,1.5,0.5,0.5,,,
19765.js,0,2,0.5,0.5,,,
19772.js,0,4,0,0,,,
19847.js,0,0.428571429,0.142857143,0.142857143,,,
19912.js,0,1,0,0,,,
19946.js,0,3,0,0,,,
19970.js,0,1,0.333333333,0.666666667,,,
19985.js,0,1.333333333,0.333333333,0,,,
20050.js,0,2,0.5,0.5,,,
20087.js,0,1,0.5,0.5,,,
20134.js,0,1.5,0.5,0.5,,,
20226.js,0,3,0,0,,,
20252.js,0,3,0,0,,,
20268.js,0,4,1,0,,,
20473.js,0,2,0,0,,,
20524.js,0,3,0,0,,,
20564.js,0,3,0,0,,,
20750.js,0,4,0,0,,,
20837.js,0,4,0,0,,,
21.js,0,2,0.5,0,,,
21071.js,0,0.5,0.5,0.5,,,
21163.js,0,1,0.5,0,,,
21166.js,0,0.666666667,0.666666667,0.666666667,,,
21170.js,0,1.5,0.5,0.5,,,
21436.js,0,3,0,0,,,
21552.js,0,2,0.5,0.5,,,
21736.js,0,2,0.5,0.5,,,
21946.js,0,0.5,0.25,0.5,,,
22499.js,0,1,0.333333333,0,,,
22516.js,0,1.5,0,0.5,,,
22829.js,0,0.666666667,0.666666667,0.666666667,,,
22918.js,0,0,0,0,,,
22986.js,0,0.857142857,0.857142857,0.857142857,,,
2324.js,0,0.4,0.7,0.8,,,
23809.js,0,0.333333333,0.333333333,0.333333333,,,
23866.js,0,0,0,0,,,
23895.js,0,0,0,0,,,
24270.js,0,0.066666667,0.333333333,0.333333333,,,
24292.js,0,0.125,0.75,0.625,,,
24340.js,0,1.333333333,0,0.333333333,,,
24371.js,0,0.333333333,0.333333333,0.333333333,,,
24506.js,0,3,0,0,,,
24860.js,0,3,0,0,,,
24862.js,0,3,0,0,,,
24907.js,0,0.2,0.4,0.6,,,
24913.js,0,1,0,0.5,,,
2496.js,0,3,0,0,,,
2614.js,0,3,0,0,,,
2656.js,0,0.2,0.4,0.6,,,
27598.js,0,0.125,0.375,0.375,,,
27724.js,0,0.125,0.5,0.5,,,
27838.js,0,0.125,0.375,0.375,,,
27846.js,0,0.125,0.5,0.375,,,
27880.js,0,0.125,0.375,0.375,,,
27891.js,0,0.125,0.375,0.375,,,
27902.js,0,0.125,0.375,0.375,,,
28298.js,0,0.125,0.5,0.375,,,
28473.js,0,0.125,0.5,0.375,,,
28688.js,0,0.125,0.375,0.5,,,
28808.js,0,0.125,0.375,0.5,,,
28877.js,0,0.125,0.375,0.5,,,
28976.js,0,0.125,0.375,0.375,,,
29012.js,0,0.125,0.375,0.5,,,
29132.js,0,0.125,0.375,0.375,,,
29148.js,0,0.125,0.375,0.375,,,
29213.js,0,0.125,0.375,0.5,,,
29258.js,0,0.125,0.5,0.375,,,
29294.js,0,0.125,0.5,0.5,,,
29386.js,0,0.125,0.375,0.375,,,
29408.js,0,0.125,0.5,0.375,,,
29474.js,0,0.125,0.375,0.375,,,
29533.js,0,0.125,0.5,0.375,,,
29540.js,0,0.125,0.375,0.375,,,
29567.js,0,0.125,0.375,0.375,,,
29651.js,0,0.125,0.375,0.375,,,
29704.js,0,0.125,0.375,0.375,,,
2985.js,0,3,0,0,,,
3062.js,0,3,0,0,,,
3174.js,0,3,0,0,,,
3284.js,0,3,0,0,,,
3354.js,0,3,0,0,,,
3391.js,0,3,0,0,,,
3465.js,0,3,0,0,,,
3558.js,0,0.571428571,0.857142857,0.785714286,,,
3653.js,0,3,0,0,,,
3659.js,0,3,0,0,,,
3717.js,0,3,0,0,,,
3718.js,0,3,0,0,,,
3801.js,0,3,0,0,,,
3873.js,0,3,0,0,,,
38760.js,0,0.125,0.375,0.5,,,
38786.js,0,0.125,0.375,0.375,,,
38807.js,0,0.125,0.375,0.375,,,
38815.js,0,0.125,0.375,0.375,,,
38823.js,0,0.125,0.375,0.375,,,
3884.js,0,3,0,0,,,
38872.js,0,0.125,0.5,0.375,,,
38970.js,0,0.125,0.375,0.5,,,
39025.js,0,0.125,0.5,0.375,,,
3924.js,0,1,0.333333333,0.333333333,,,
39278.js,0,0.125,0.375,0.375,,,
39287.js,0,0.090909091,0.272727273,0.272727273,,,
39463.js,0,0.125,0.375,0.375,,,
3949.js,0,3,0,0,,,
39563.js,0,0.125,0.5,0.5,,,
39575.js,0,0.125,0.375,0.375,,,
39641.js,0,0.125,0.375,0.5,,,
39657.js,0,0.125,0.375,0.5,,,
39685.js,0,0.125,0.5,0.375,,,
39689.js,0,0.125,0.375,0.375,,,
39795.js,0,0.125,0.375,0.5,,,
39835.js,0,0.125,0.375,0.375,,,
39845.js,0,0.125,0.5,0.5,,,
39953.js,0,0.125,0.375,0.375,,,
39987.js,0,0.125,0.375,0.375,,,
40095.js,0,0.125,0.5,0.5,,,
40133.js,0,0.125,0.375,0.375,,,
