FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
100094.js,1,0.0625,0.333333333,0.333333333,,,
100561.js,1,0.071428571,0.125,0.125,,,
100583.js,1,0.133333333,1,0.222222222,,,
100691.js,0.875,0.185185185,0.333333333,0.294117647,,,
100896.js,0.857142857,0.047619048,0.051282051,0.125,,,659
101009.js,0.333333333,0.05,0.125,0.333333333,,,rename_unweighted Ê Ê Ê Ê Ê Ê Ê Ê 0.830003
101085.js,1,0.117647059,0.5,0.5,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê Ê Ê 0.185323
101196.js,1,0.235294118,1,1,,,jsjiami_recover_unweighted_oldÊ Ê 0.299395
101223.js,1,0.125,0.666666667,0.666666667,,,jsjiami_recover_unweightedÊ Ê Ê Ê 0.318110
101529.js,1,0.125,0.666666667,0.666666667,,,
101576.js,0.333333333,0.333333333,0.333333333,0.333333333,,,
101606.js,1,1,1,1,,,
101709.js,1,0.105263158,0.333333333,0.333333333,,,
101800.js,1,0.117647059,0.5,0.5,,,
102055.js,1,0.125,0.666666667,0.666666667,,,
102202.js,1,0.125,0.666666667,0.666666667,,,
102658.js,1,0.133333333,1,1,,,
102694.js,1,0.133333333,1,0.666666667,,,
102952.js,1,0.125,0.666666667,0.666666667,,,
103438.js,1,0.133333333,1,0.666666667,,,
103695.js,1,0.125,0.666666667,0.666666667,,,
10398.js,1,0.045454545,0.0625,0.111111111,,,
104116.js,0.75,0.113636364,0.131578947,0.147058824,,,
104155.js,0.714285714,0.115384615,0.15,0.176470588,,,
104359.js,0.822222222,0.075581395,0.078313253,0.132653061,,,
11062.js,0.729166667,0.27184466,0.311111111,0.373333333,,,
11427.js,0.844155844,0.202898551,0.212121212,0.277227723,,,
11429.js,0.863636364,0.184210526,0.21875,0.21875,,,
11761.js,0.788732394,0.142857143,0.148648649,0.229166667,,,
12224.js,0.846153846,0.25,0.318181818,0.304347826,,,
1255.js,0.516129032,0.184615385,0.203389831,0.285714286,,,
1281.js,0.666666667,0.048387097,0.049180328,0.091836735,,,
13070.js,0.5,0.047619048,0.125,0.2,,,
13312.js,1,0.136363636,0.333333333,0.142857143,,,
13547.js,1,1,1,1,,,
13575.js,1,0.32,0.421052632,0.571428571,,,
13620.js,1,0.0625,0.333333333,0.333333333,,,
13628.js,1,0.161290323,0.2,0.263157895,,,
13630.js,1,0.2,0.24137931,0.25,,,
13693.js,0.5,0.1875,0.3,0.428571429,,,
13749.js,1,0.166666667,0.25,0.25,,,
138.js,0.694444444,0.107142857,0.115384615,0.14516129,,,
1407.js,0.4875,0.096153846,0.10989011,0.112359551,,,
14132.js,1,1,1,1,,,
14141.js,1,1,1,1,,,
1432.js,0.854166667,0.166666667,0.178571429,0.238095238,,,
1460.js,0.916666667,0.111111111,0.151515152,0.178571429,,,
14977.js,1,1,1,1,,,
1503.js,0.714285714,0.179487179,0.212121212,0.291666667,,,
15292.js,1,1,1,1,,,
15361.js,0.666666667,0.157894737,0.5,0.5,,,
15580.js,1,1,1,1,,,
15783.js,1,1,1,1,,,
15855.js,1,1,1,1,,,
1587.js,0.875,0.12244898,0.166666667,0.146341463,,,
1616.js,0.666666667,0.091324201,0.093457944,0.128205128,,,
16222.js,1,0.0625,0.333333333,0.333333333,,,
16434.js,0,0,0,0,,,
17034.js,1,1,1,1,,,
17041.js,1,1,1,1,,,
1718.js,0.866666667,0.151515152,0.25,0.263157895,,,
17294.js,1,1,1,1,,,
1732.js,1,0.148148148,0.19047619,0.19047619,,,
17569.js,0,0,0,0,,,
1776.js,0.571428571,0.133333333,0.1875,0.181818182,,,
18831.js,0.466666667,0.086956522,0.117647059,0.19047619,,,
18887.js,0.555555556,0.106382979,0.142857143,0.208333333,,,
19732.js,1,0.285714286,0.4,0.571428571,,,
