FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted
10007.js,0.6111111111111112,0.0821917808219178,0.2727272727272727
100217.js,-1.0,-1.0,-1.0
100402.js,-1.0,-1.0,-1.0
100420.js,-1.0,-1.0,-1.0
100516.js,0.9047619047619048,0.10112359550561797,-1.0
100601.js,-1.0,-1.0,-1.0
100610.js,-1.0,-1.0,-1.0
100691.js,0.875,0.08620689655172414,0.625
10085.js,-1.0,-1.0,-1.0
100896.js,0.8571428571428571,0.038834951456310676,0.16666666666666666
101009.js,0.3333333333333333,0.019230769230769232,0.3333333333333333
101261.js,1.0,0.05970149253731343,0.25
101576.js,0.3333333333333333,0.3333333333333333,-1.0
101611.js,-1.0,-1.0,-1.0
104155.js,0.7142857142857143,0.05263157894736842,0.3333333333333333
104250.js,0.6379310344827587,0.08,0.21875
104310.js,-1.0,-1.0,-1.0
104333.js,0.71875,0.05925925925925926,-1.0
104359.js,0.8222222222222222,0.06696428571428571,-1.0
104431.js,0.7857142857142857,0.16203703703703703,-1.0
104510.js,0.42045454545454547,0.05170239596469105,-1.0
10805.js,-1.0,-1.0,-1.0
11062.js,0.7291666666666666,0.21705426356589147,0.42424242424242425
1111.js,0.5555555555555556,0.13432835820895522,0.5
1115.js,0.7931034482758621,0.09090909090909091,0.23333333333333334
11245.js,-1.0,-1.0,-1.0
1130.js,-1.0,-1.0,-1.0
1225.js,0.6097560975609756,0.046632124352331605,-1.0
1255.js,0.5161290322580645,0.13333333333333333,-1.0
12627.js,0.7027027027027027,0.13793103448275862,0.3333333333333333
1263.js,-1.0,-1.0,-1.0
1281.js,0.6666666666666666,0.05970149253731343,-1.0
13025.js,0.45454545454545453,0.06666666666666667,0.36363636363636365
13048.js,0.45454545454545453,0.25,-1.0
13070.js,0.5,0.018518518518518517,0.2
13131.js,0.375,0.03636363636363636,0.2222222222222222
13134.js,0.4444444444444444,0.05172413793103448,0.3333333333333333
13201.js,1.0,0.10526315789473684,0.5454545454545454
13312.js,1.0,0.05660377358490566,0.42857142857142855
13476.js,0.75,0.018518518518518517,0.125
13501.js,0.75,0.018518518518518517,0.125
13522.js,0.75,0.018518518518518517,0.125
13554.js,0.6666666666666666,0.5714285714285714,-1.0
13560.js,0.625,0.06451612903225806,0.5714285714285714
1363.js,-1.0,-1.0,-1.0
13693.js,0.5,0.0967741935483871,-1.0
138.js,0.6944444444444444,0.08411214953271028,0.1875
1407.js,0.4875,0.07042253521126761,0.12345679012345678
14959.js,1.0,1.0,-1.0
15193.js,-1.0,-1.0,-1.0
15741.js,0.8333333333333334,1.0,-1.0
15783.js,1.0,1.0,-1.0
1590.js,0.7760869565217391,0.08385933273219116,-1.0
1616.js,0.6666666666666666,0.1111111111111111,-1.0
1689.js,-1.0,-1.0,-1.0
17294.js,1.0,0.02,0.25
17302.js,1.0,1.0,-1.0
17395.js,-1.0,-1.0,-1.0
1798.js,-1.0,-1.0,-1.0
1804.js,-1.0,-1.0,-1.0
1836.js,-1.0,-1.0,-1.0
18831.js,0.4666666666666667,0.0759493670886076,0.21739130434782608
18884.js,0.5294117647058824,0.0945945945945946,0.25
18887.js,0.5555555555555556,0.08,0.20833333333333334
1891.js,-1.0,-1.0,-1.0
19194.js,0.6666666666666666,0.0784313725490196,0.8
19199.js,1.0,0.09615384615384616,-1.0
19250.js,-1.0,-1.0,-1.0
19689.js,-1.0,-1.0,-1.0
19742.js,0.2,0.5,-1.0
19764.js,0.6923076923076923,0.08196721311475409,0.3333333333333333
1988.js,0.875,0.06976744186046512,-1.0
19942.js,1.0,0.06451612903225806,0.25
19970.js,0.8181818181818182,0.08928571428571429,0.45454545454545453
19974.js,0.875,0.0967741935483871,0.375
20055.js,0.5882352941176471,0.046153846153846156,0.15789473684210525
20087.js,0.6153846153846154,0.06779661016949153,0.3076923076923077
20200.js,-1.0,-1.0,-1.0
2023.js,-1.0,-1.0,-1.0
20278.js,-1.0,-1.0,-1.0
20351.js,1.0,0.09433962264150944,0.7142857142857143
20358.js,0.42857142857142855,0.05,0.42857142857142855
2039.js,-1.0,-1.0,-1.0
20447.js,0.3333333333333333,0.16666666666666666,-1.0
20458.js,0.3333333333333333,0.01818181818181818,0.1111111111111111
20473.js,0.3333333333333333,0.01818181818181818,0.1111111111111111
20481.js,0.42857142857142855,0.018867924528301886,0.14285714285714285
20524.js,0.6,0.0196078431372549,0.2
20688.js,0.7777777777777778,0.07692307692307693,0.2631578947368421
2096.js,-1.0,-1.0,-1.0
21.js,0.5849056603773585,0.03529411764705882,0.06315789473684211
2101.js,-1.0,-1.0,-1.0
21166.js,1.0,0.10909090909090909,-1.0
2122.js,-1.0,-1.0,-1.0
2125.js,-1.0,-1.0,-1.0
21279.js,-1.0,-1.0,-1.0
21552.js,1.0,0.05454545454545454,0.3333333333333333
21674.js,1.0,0.020833333333333332,0.5
21744.js,0.5,0.019230769230769232,0.25
21789.js,1.0,0.020833333333333332,0.5
218.js,0.5609756097560976,0.12376237623762376,-1.0
21808.js,1.0,0.020833333333333332,0.5
22074.js,0.6470588235294118,0.06153846153846154,0.21052631578947367
22080.js,0.64,0.06666666666666667,0.1724137931034483
22366.js,0.5882352941176471,0.06349206349206349,0.23529411764705882
22499.js,0.9285714285714286,0.0847457627118644,0.38461538461538464
22516.js,0.8125,0.11290322580645161,0.4375
22586.js,0.6923076923076923,0.07936507936507936,0.38461538461538464
22601.js,0.6666666666666666,0.13432835820895522,0.5
23434.js,0.25,0.25,-1.0
23633.js,-1.0,-1.0,-1.0
23660.js,1.0,1.0,-1.0
23866.js,1.0,1.0,-1.0
23895.js,1.0,1.0,-1.0
23938.js,0.6666666666666666,0.6666666666666666,-1.0
24171.js,1.0,0.5,-1.0
24176.js,1.0,0.5,-1.0
24270.js,1.0,0.15789473684210525,0.8181818181818182
24347.js,1.0,0.07407407407407407,0.4444444444444444
24432.js,0.8235294117647058,0.10294117647058823,0.3684210526315789
24438.js,0.8461538461538461,0.1206896551724138,0.5384615384615384
24506.js,0.3333333333333333,0.2222222222222222,-1.0
24615.js,0.8461538461538461,0.11290322580645161,-1.0
24860.js,0.7368421052631579,0.0718954248366013,-1.0
24862.js,0.6610169491525424,0.10067114093959731,-1.0
24907.js,0.8068181818181818,0.027463651050080775,-1.0
24913.js,0.52,0.03409090909090909,-1.0
24988.js,-1.0,-1.0,-1.0
25001.js,-1.0,-1.0,-1.0
26383.js,-1.0,-1.0,-1.0
26398.js,-1.0,-1.0,-1.0
26541.js,-1.0,-1.0,-1.0
27178.js,-1.0,-1.0,-1.0
27182.js,-1.0,-1.0,-1.0
27247.js,-1.0,-1.0,-1.0
27258.js,-1.0,-1.0,-1.0
27353.js,-1.0,-1.0,-1.0
27441.js,-1.0,-1.0,-1.0
27443.js,-1.0,-1.0,-1.0
29491.js,0.627906976744186,0.12121212121212122,0.25
300.js,-1.0,-1.0,-1.0
320.js,-1.0,-1.0,-1.0
337.js,-1.0,-1.0,-1.0
39287.js,0.627906976744186,0.09734513274336283,0.21153846153846154
4041.js,0.6551724137931034,0.024539877300613498,-1.0
4075.js,0.6798029556650246,0.0852575488454707,-1.0
4089.js,1.0,0.020833333333333332,0.5
4139.js,1.0,0.04703476482617587,-1.0
4165.js,0.7681159420289855,0.03546099290780142,-1.0
4307.js,0.631578947368421,0.08108108108108109,-1.0
43149.js,0.627906976744186,0.10891089108910891,0.22916666666666666
44354.js,0.627906976744186,0.12871287128712872,0.2708333333333333
448.js,-1.0,-1.0,-1.0
45485.js,0.5208333333333334,0.05897435897435897,-1.0
45491.js,0.6578947368421053,0.033707865168539325,-1.0
45493.js,0.5806451612903226,0.046511627906976744,-1.0
45502.js,0.8103448275862069,0.016283524904214558,-1.0
45505.js,0.5652173913043478,0.033092037228541885,-1.0
45510.js,0.6410256410256411,0.03488372093023256,-1.0
45545.js,0.45454545454545453,0.013157894736842105,0.038461538461538464
45639.js,-1.0,-1.0,-1.0
45681.js,-1.0,-1.0,-1.0
45730.js,-1.0,-1.0,-1.0
45919.js,-1.0,-1.0,-1.0
46104.js,-1.0,-1.0,-1.0
46413.js,-1.0,-1.0,-1.0
46432.js,1.0,0.08,0.6666666666666666
4676.js,0.7142857142857143,0.06493506493506493,-1.0
4677.js,0.7272727272727273,0.047058823529411764,-1.0
46860.js,-1.0,-1.0,-1.0
4698.js,0.4,0.12195121951219512,-1.0
471.js,-1.0,-1.0,-1.0
47113.js,-1.0,-1.0,-1.0
47250.js,-1.0,-1.0,-1.0
473.js,-1.0,-1.0,-1.0
47409.js,-1.0,-1.0,-1.0
4764.js,0.6666666666666666,0.09438202247191012,-1.0
4861.js,0.5405405405405406,0.13333333333333333,0.34782608695652173
48748.js,0.8,0.12307692307692308,0.4
48769.js,0.7857142857142857,0.12087912087912088,0.25
48940.js,-1.0,-1.0,-1.0
490.js,-1.0,-1.0,-1.0
49416.js,-1.0,-1.0,-1.0
4945.js,0.5,0.04878048780487805,0.10909090909090909
49662.js,0.3125,0.07462686567164178,0.2631578947368421
49663.js,0.3125,0.04054054054054054,0.13636363636363635
49711.js,0.7454545454545455,0.03615819209039548,-1.0
49847.js,0.7777777777777778,0.11764705882352941,0.38095238095238093
4998.js,0.9130434782608695,0.18571428571428572,-1.0
50055.js,0.32673267326732675,0.03854389721627409,-1.0
50084.js,0.475,0.05737704918032787,-1.0
50130.js,0.408,0.04792332268370607,-1.0
50145.js,0.5180722891566265,0.03926701570680628,-1.0
50198.js,0.5769230769230769,0.0462046204620462,-1.0
50341.js,0.8275862068965517,0.043795620437956206,0.07575757575757576
50345.js,0.8596491228070176,0.03816793893129771,-1.0
50370.js,0.8591549295774648,0.05,-1.0
50382.js,0.9019607843137255,0.044642857142857144,-1.0
50402.js,0.7338709677419355,0.055412371134020616,-1.0
50435.js,0.7777777777777778,0.04435483870967742,-1.0
50441.js,1.0,0.028688524590163935,-1.0
50453.js,1.0,0.03070175438596491,0.04294478527607362
50524.js,0.8421052631578947,0.014492753623188406,0.05
50529.js,0.8571428571428571,0.014084507042253521,0.045454545454545456
50552.js,0.9,0.014925373134328358,0.047619047619047616
50562.js,0.9,0.014925373134328358,0.047619047619047616
50570.js,0.8571428571428571,0.014084507042253521,0.045454545454545456
50600.js,0.9682539682539683,0.017741935483870968,-1.0
50605.js,0.5666666666666667,0.021739130434782608,0.05405405405405406
50635.js,0.7142857142857143,0.05,0.14285714285714285
50646.js,0.6666666666666666,0.09210526315789473,0.3333333333333333
50674.js,0.631578947368421,0.10526315789473684,0.36
50693.js,0.6666666666666666,0.08860759493670886,0.3333333333333333
50721.js,1.0,0.014492753623188406,-1.0
50732.js,1.0,0.020833333333333332,-1.0
50735.js,1.0,0.022222222222222223,-1.0
50818.js,1.0,0.047619047619047616,-1.0
50889.js,0.9,0.04395604395604396,-1.0
51012.js,0.5901639344262295,0.07711442786069651,-1.0
51042.js,0.6274509803921569,0.10778443113772455,0.24324324324324326
51051.js,0.5769230769230769,0.0963855421686747,0.27586206896551724
51070.js,0.6153846153846154,0.10810810810810811,0.3076923076923077
51083.js,0.5733333333333334,0.09239130434782608,-1.0
5111.js,0.7142857142857143,0.057692307692307696,0.42857142857142855
51151.js,0.7619047619047619,0.1232876712328767,0.391304347826087
51153.js,0.5,0.13924050632911392,0.34375
51188.js,0.7777777777777778,0.1111111111111111,0.3888888888888889
5133.js,0.5925925925925926,0.11235955056179775,0.3448275862068966
5134.js,0.8431372549019608,0.13138686131386862,-1.0
51378.js,0.6410256410256411,0.0738255033557047,-1.0
51515.js,0.6470588235294118,0.07575757575757576,0.2777777777777778
51603.js,0.8506493506493507,0.059602649006622516,-1.0
51738.js,0.45454545454545453,0.06756756756756757,0.19230769230769232
5200.js,0.8461538461538461,0.14516129032258066,0.5294117647058824
5213.js,1.0,0.17333333333333334,0.43333333333333335
5214.js,0.7272727272727273,0.09036144578313253,-1.0
5217.js,0.5555555555555556,0.046153846153846156,0.15789473684210525
524.js,-1.0,-1.0,-1.0
5246.js,0.7352941176470589,0.10112359550561797,0.21951219512195122
5259.js,0.7368421052631579,0.10752688172043011,0.2222222222222222
5262.js,0.68,0.1125,0.2903225806451613
52707.js,0.6666666666666666,0.0875,-1.0
52733.js,0.6875,0.09016393442622951,-1.0
52883.js,0.6222222222222222,0.11666666666666667,-1.0
53082.js,-1.0,-1.0,-1.0
53089.js,-1.0,-1.0,-1.0
53097.js,0.5769230769230769,0.07228915662650602,-1.0
53217.js,0.532258064516129,0.09333333333333334,-1.0
5323.js,0.5,0.0625,0.26666666666666666
53346.js,0.6164383561643836,0.03333333333333333,0.056179775280898875
53380.js,0.84375,0.030612244897959183,0.07692307692307693
53384.js,0.7272727272727273,0.013422818791946308,0.024096385542168676
53399.js,0.7333333333333333,0.03571428571428571,-1.0
53473.js,0.5583756345177665,0.0560303893637227,-1.0
53509.js,0.7,0.021739130434782608,0.047619047619047616
53531.js,0.746031746031746,0.0234375,0.04411764705882353
53628.js,0.7931034482758621,0.11363636363636363,0.30303030303030304
53651.js,0.6,0.08,0.16326530612244897
53741.js,0.92,0.08333333333333333,0.2222222222222222
53868.js,0.7692307692307693,0.1092436974789916,-1.0
5394.js,0.8333333333333334,0.09917355371900827,-1.0
5396.js,0.9485714285714286,0.09932659932659933,-1.0
5403.js,0.9923591212989494,0.07750618811881188,-1.0
54129.js,0.8,0.1891891891891892,0.4666666666666667
54238.js,-1.0,-1.0,-1.0
5431.js,0.5581395348837209,0.09929078014184398,-1.0
54354.js,0.7727272727272727,0.12121212121212122,0.2608695652173913
5449.js,0.8292682926829268,0.029411764705882353,-1.0
54815.js,0.8260869565217391,0.13432835820895522,0.391304347826087
54874.js,0.8518518518518519,0.11235955056179775,-1.0
55065.js,0.8928571428571429,0.2054794520547945,0.5172413793103449
55073.js,0.6551724137931034,0.05952380952380952,0.13513513513513514
5525.js,0.717391304347826,0.03291139240506329,-1.0
55287.js,0.9,0.14705882352941177,0.45454545454545453
55289.js,0.75,0.06666666666666667,0.16666666666666666
55350.js,0.6610169491525424,0.1,-1.0
55447.js,0.8275862068965517,0.15086206896551724,0.33653846153846156
55483.js,0.6363636363636364,0.07042253521126761,0.20833333333333334
55560.js,0.8421052631578947,0.11702127659574468,-1.0
55570.js,0.64,0.09333333333333334,0.23333333333333334
5565.js,0.5,0.034482758620689655,0.5
55685.js,0.9795918367346939,0.5374149659863946,0.7596153846153846
55725.js,0.9393939393939394,0.16279069767441862,0.3684210526315789
55733.js,0.7419354838709677,0.15730337078651685,-1.0
55856.js,0.7297297297297297,0.10204081632653061,0.19607843137254902
56047.js,0.9615384615384616,0.17333333333333334,0.48148148148148145
56167.js,0.8333333333333334,0.0759493670886076,0.17142857142857143
56216.js,0.75,0.1,0.27586206896551724
5623.js,0.7833333333333333,0.04739336492890995,-1.0
56348.js,0.75,0.08029197080291971,0.14864864864864866
56372.js,0.6923076923076923,0.0641025641025641,0.18518518518518517
56410.js,1.0,0.08196721311475409,0.3125
56418.js,0.8536585365853658,0.11607142857142858,-1.0
5646.js,1.0,0.09259259259259259,0.5555555555555556
56467.js,0.8490566037735849,0.21428571428571427,0.375
56478.js,0.8387096774193549,0.14814814814814814,0.3333333333333333
56487.js,0.7692307692307693,0.1016949152542373,0.4
5649.js,0.8292682926829268,0.08653846153846154,0.1956521739130435
56547.js,0.5538461538461539,0.1188118811881188,-1.0
56601.js,0.9166666666666666,0.1,-1.0
56727.js,0.9354838709677419,0.18823529411764706,0.43243243243243246
56892.js,0.3333333333333333,0.06451612903225806,0.36363636363636365
56923.js,0.90625,0.1411764705882353,-1.0
57025.js,0.55,0.015037593984962405,0.09523809523809523
5711.js,1.0,0.05084745762711865,0.21428571428571427
57194.js,0.6470588235294118,0.06,0.15
57223.js,0.6833333333333333,0.10196078431372549,-1.0
57426.js,1.0,0.14754098360655737,-1.0
57449.js,0.7777777777777778,0.05,0.25
57455.js,0.5909090909090909,0.07058823529411765,0.20689655172413793
57567.js,1.0,1.0,-1.0
5758.js,0.7027027027027027,0.11,-1.0
57583.js,1.0,0.2621359223300971,0.46551724137931033
57617.js,0.8,0.057692307692307696,-1.0
57698.js,0.8571428571428571,0.11666666666666667,0.5384615384615384
5784.js,0.5625,0.11428571428571428,-1.0
57951.js,0.6896551724137931,0.19480519480519481,-1.0
57964.js,0.7241379310344828,0.09615384615384616,0.2777777777777778
57973.js,-1.0,-1.0,-1.0
58032.js,-1.0,-1.0,-1.0
58229.js,0.8,0.125,0.391304347826087
58294.js,0.38461538461538464,0.0625,0.26666666666666666
58412.js,0.6666666666666666,0.12941176470588237,-1.0
58487.js,0.7692307692307693,0.0871559633027523,-1.0
58550.js,0.8571428571428571,0.15873015873015872,0.6666666666666666
58570.js,0.7777777777777778,0.12727272727272726,0.7777777777777778
58616.js,0.42857142857142855,0.0625,0.26666666666666666
58645.js,0.6666666666666666,0.057692307692307696,-1.0
58685.js,1.0,0.1891891891891892,0.5
5888.js,0.22807017543859648,0.07653061224489796,-1.0
59012.js,0.9130434782608695,0.08450704225352113,0.24
5905.js,0.4411764705882353,0.056451612903225805,-1.0
59075.js,0.6,0.17142857142857143,0.45
59093.js,0.5652173913043478,0.056338028169014086,0.16
59099.js,0.84375,0.14473684210526316,0.36666666666666664
59106.js,0.75,0.1901840490797546,-1.0
59117.js,0.8,0.1917808219178082,0.32558139534883723
59156.js,0.8518518518518519,0.14084507042253522,0.4
