FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
10007.js,0.611111111,0.082191781,0.272727273,,,
100691.js,0.875,0.086206897,0.625,,,
100896.js,0.857142857,0.038834951,0.166666667,,,
101009.js,0.333333333,0.019230769,0.333333333,,,
101261.js,1,0.059701493,0.25,,,
104155.js,0.714285714,0.052631579,0.333333333,,,391
104250.js,0.637931034,0.08,0.21875,,,rename_unweighted Ê Ê Ê Ê Ê Ê 0.691853
11062.js,0.729166667,0.217054264,0.424242424,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê 0.078777
1111.js,0.555555556,0.134328358,0.5,,,jsjiami_recover_unweightedÊ Ê 0.294851
1115.js,0.793103448,0.090909091,0.233333333,,,
12627.js,0.702702703,0.137931034,0.333333333,,,
13025.js,0.454545455,0.066666667,0.363636364,,,
13070.js,0.5,0.018518519,0.2,,,
13131.js,0.375,0.036363636,0.222222222,,,
13134.js,0.444444444,0.051724138,0.333333333,,,
13201.js,1,0.105263158,0.545454545,,,
13312.js,1,0.056603774,0.428571429,,,
13476.js,0.75,0.018518519,0.125,,,
13501.js,0.75,0.018518519,0.125,,,
13522.js,0.75,0.018518519,0.125,,,
13560.js,0.625,0.064516129,0.571428571,,,
138.js,0.694444444,0.08411215,0.1875,,,
1407.js,0.4875,0.070422535,0.12345679,,,
17294.js,1,0.02,0.25,,,
18831.js,0.466666667,0.075949367,0.217391304,,,
18884.js,0.529411765,0.094594595,0.25,,,
18887.js,0.555555556,0.08,0.208333333,,,
19194.js,0.666666667,0.078431373,0.8,,,
19764.js,0.692307692,0.081967213,0.333333333,,,
19942.js,1,0.064516129,0.25,,,
19970.js,0.818181818,0.089285714,0.454545455,,,
19974.js,0.875,0.096774194,0.375,,,
20055.js,0.588235294,0.046153846,0.157894737,,,
20087.js,0.615384615,0.06779661,0.307692308,,,
20351.js,1,0.094339623,0.714285714,,,
20358.js,0.428571429,0.05,0.428571429,,,
20458.js,0.333333333,0.018181818,0.111111111,,,
20473.js,0.333333333,0.018181818,0.111111111,,,
20481.js,0.428571429,0.018867925,0.142857143,,,
20524.js,0.6,0.019607843,0.2,,,
20688.js,0.777777778,0.076923077,0.263157895,,,
21.js,0.58490566,0.035294118,0.063157895,,,
21552.js,1,0.054545455,0.333333333,,,
21674.js,1,0.020833333,0.5,,,
21744.js,0.5,0.019230769,0.25,,,
21789.js,1,0.020833333,0.5,,,
21808.js,1,0.020833333,0.5,,,
22074.js,0.647058824,0.061538462,0.210526316,,,
22080.js,0.64,0.066666667,0.172413793,,,
22366.js,0.588235294,0.063492063,0.235294118,,,
22499.js,0.928571429,0.084745763,0.384615385,,,
22516.js,0.8125,0.112903226,0.4375,,,
22586.js,0.692307692,0.079365079,0.384615385,,,
22601.js,0.666666667,0.134328358,0.5,,,
24270.js,1,0.157894737,0.818181818,,,
24347.js,1,0.074074074,0.444444444,,,
24432.js,0.823529412,0.102941176,0.368421053,,,
24438.js,0.846153846,0.120689655,0.538461538,,,
29491.js,0.627906977,0.121212121,0.25,,,
39287.js,0.627906977,0.097345133,0.211538462,,,
4089.js,1,0.020833333,0.5,,,
43149.js,0.627906977,0.108910891,0.229166667,,,
44354.js,0.627906977,0.128712871,0.270833333,,,
45545.js,0.454545455,0.013157895,0.038461538,,,
46432.js,1,0.08,0.666666667,,,
4861.js,0.540540541,0.133333333,0.347826087,,,
48748.js,0.8,0.123076923,0.4,,,
48769.js,0.785714286,0.120879121,0.25,,,
4945.js,0.5,0.048780488,0.109090909,,,
49662.js,0.3125,0.074626866,0.263157895,,,
49663.js,0.3125,0.040540541,0.136363636,,,
49847.js,0.777777778,0.117647059,0.380952381,,,
50341.js,0.827586207,0.04379562,0.075757576,,,
50453.js,1,0.030701754,0.042944785,,,
50524.js,0.842105263,0.014492754,0.05,,,
50529.js,0.857142857,0.014084507,0.045454545,,,
50552.js,0.9,0.014925373,0.047619048,,,
50562.js,0.9,0.014925373,0.047619048,,,
50570.js,0.857142857,0.014084507,0.045454545,,,
50605.js,0.566666667,0.02173913,0.054054054,,,
50635.js,0.714285714,0.05,0.142857143,,,
50646.js,0.666666667,0.092105263,0.333333333,,,
50674.js,0.631578947,0.105263158,0.36,,,
50693.js,0.666666667,0.088607595,0.333333333,,,
51042.js,0.62745098,0.107784431,0.243243243,,,
51051.js,0.576923077,0.096385542,0.275862069,,,
51070.js,0.615384615,0.108108108,0.307692308,,,
5111.js,0.714285714,0.057692308,0.428571429,,,
51151.js,0.761904762,0.123287671,0.391304348,,,
51153.js,0.5,0.139240506,0.34375,,,
51188.js,0.777777778,0.111111111,0.388888889,,,
5133.js,0.592592593,0.112359551,0.344827586,,,
51515.js,0.647058824,0.075757576,0.277777778,,,
51738.js,0.454545455,0.067567568,0.192307692,,,
5200.js,0.846153846,0.14516129,0.529411765,,,
5213.js,1,0.173333333,0.433333333,,,
5217.js,0.555555556,0.046153846,0.157894737,,,
5246.js,0.735294118,0.101123596,0.219512195,,,
5259.js,0.736842105,0.107526882,0.222222222,,,
5262.js,0.68,0.1125,0.290322581,,,
5323.js,0.5,0.0625,0.266666667,,,
53346.js,0.616438356,0.033333333,0.056179775,,,
53380.js,0.84375,0.030612245,0.076923077,,,
53384.js,0.727272727,0.013422819,0.024096386,,,
53509.js,0.7,0.02173913,0.047619048,,,
53531.js,0.746031746,0.0234375,0.044117647,,,
53628.js,0.793103448,0.113636364,0.303030303,,,
53651.js,0.6,0.08,0.163265306,,,
53741.js,0.92,0.083333333,0.222222222,,,
54129.js,0.8,0.189189189,0.466666667,,,
54354.js,0.772727273,0.121212121,0.260869565,,,
54815.js,0.826086957,0.134328358,0.391304348,,,
55065.js,0.892857143,0.205479452,0.517241379,,,
55073.js,0.655172414,0.05952381,0.135135135,,,
55287.js,0.9,0.147058824,0.454545455,,,
55289.js,0.75,0.066666667,0.166666667,,,
