FileName,jsjiami_unweighted,jsjiami_recover_unweighted
10007.js,0.29136554814646776,0.7288812296558357
100111.js,-1.0,-1.0
100217.js,-1.0,-1.0
100402.js,-1.0,-1.0
100420.js,-1.0,-1.0
100516.js,0.393831280232829,0.8690841516043382
100601.js,-1.0,-1.0
100610.js,-1.0,-1.0
100691.js,0.26705838705062596,0.9148936170212766
10085.js,-1.0,-1.0
100896.js,0.39703253529313504,0.8309729975105054
101009.js,0.12793206052938005,0.6139406135149205
101261.js,0.3050982227835136,0.6879839088699877
101576.js,1.0,-1.0
101611.js,-1.0,-1.0
102055.js,0.116543309349613,1.0
102202.js,0.10144749970923667,1.0
104155.js,0.20914176994993516,0.875
104250.js,0.4362246029658368,0.7539751755040976
104310.js,-1.0,-1.0
104333.js,0.42107120651758273,-1.0
104359.js,0.4109080830734521,-1.0
104431.js,0.4971907045941649,-1.0
104510.js,0.40738303510192125,-1.0
10485.js,-1.0,-1.0
10805.js,-1.0,-1.0
10884.js,-1.0,-1.0
11062.js,0.48251184261531477,0.8907121349249338
1111.js,0.38952537407650784,0.9027852453785272
1115.js,0.4003382028881697,0.881578947368421
11216.js,-1.0,-1.0
11245.js,-1.0,-1.0
1130.js,-1.0,-1.0
11429.js,0.3405343771841112,0.8381065430018891
1225.js,0.3792237706868002,-1.0
12339.js,-1.0,-1.0
12476.js,-1.0,-1.0
1255.js,0.34406461373404634,-1.0
12627.js,0.40267077869459167,0.8500664140329959
1263.js,-1.0,-1.0
1281.js,0.44881860085310193,-1.0
13025.js,0.2743516305843672,0.9591836734693877
13048.js,0.9736842105263158,-1.0
13070.js,0.2009669677645352,1.0
13131.js,0.19164519247731238,0.9545454545454546
13134.js,0.2557744333346544,0.8740830418336487
13201.js,0.26473532192177524,0.8958333333333334
13312.js,0.22335609907512335,0.8787878787878788
13476.js,0.19041623007854647,0.8076923076923077
13501.js,0.19041623007854647,0.8076923076923077
13522.js,0.19104260094809164,0.8076923076923077
13554.js,1.0,-1.0
13560.js,0.24891060626867303,0.8979591836734694
1363.js,-1.0,-1.0
13693.js,0.2722178614686481,-1.0
138.js,0.47617261385879955,0.8567907988016599
1407.js,0.4922680315458181,0.7217016472683898
14959.js,1.0,-1.0
14977.js,1.0,-1.0
15193.js,1.0,-1.0
15741.js,1.0,-1.0
