FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe
10007.js,0.43589223723721,-1.0,0.47058823529411764,0.2816117901313898,-1.0
100111.js,-1.0,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0,-1.0,-1.0
100402.js,-1.0,-1.0,-1.0,-1.0,-1.0
100420.js,-1.0,-1.0,-1.0,-1.0,-1.0
100516.js,0.4940983520393731,-1.0,0.5053881307904262,0.3983611476019104,-1.0
100601.js,-1.0,-1.0,-1.0,-1.0,-1.0
100610.js,-1.0,-1.0,-1.0,-1.0,-1.0
100691.js,0.3762333183465121,-1.0,0.398031161138567,0.21656642762976494,0.39885559169182117
10085.js,-1.0,-1.0,-1.0,-1.0,-1.0
100896.js,0.4528487857140193,-1.0,0.45169459882207336,0.27966182685271207,-1.0
101009.js,0.19462473604038075,0.20161945963637795,0.19144603341518265,0.12038585308576921,0.18295101634089186
101261.js,0.36188558929814757,0.3775588228005783,-1.0,0.26030430005647975,0.3542860951363303
101576.js,1.0,-1.0,-1.0,0.10072203103706698,-1.0
101611.js,-1.0,-1.0,-1.0,-1.0,-1.0
102055.js,0.19900743804199783,0.1563858105428061,0.20519567041703082,0.09421683286017897,0.1965892748731962
102202.js,0.17631812981527,0.15342910298305387,0.1856953381770519,0.07770873402002615,0.17723885738021736
104155.js,0.33081081854342315,-1.0,0.3459492030108319,0.1749741181689038,0.32577918207230205
104250.js,0.41628019648606546,-1.0,-1.0,0.3872583738787929,-1.0
104310.js,-1.0,-1.0,-1.0,-1.0,-1.0
104333.js,0.4409505482467614,0.4527663276791971,0.45602363938911944,0.4455702945691652,0.44938477370634744
104359.js,0.4578273535594224,-1.0,0.46125484213484247,0.45638179436421805,0.4794281136280557
104431.js,0.5079635174749383,0.5213513021193396,0.5598521466186903,0.49604114903467594,-1.0
104510.js,0.46479641217678813,0.4750898527654768,-1.0,0.377329018271007,-1.0
10485.js,-1.0,-1.0,-1.0,-1.0,-1.0
10805.js,-1.0,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0,-1.0,-1.0
11062.js,0.5878538776275501,-1.0,0.6091046822323251,0.26030430005647975,-1.0
1111.js,0.52230061024389,-1.0,-1.0,0.2771289337670838,-1.0
