FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
100691.js,1,1.6,1,,,
100896.js,1,1.230769231,1,,,
101009.js,1,4,1,,,
104155.js,1,1.75,1,,,
11062.js,1,1.2,1,,,
13070.js,1,4,1,,,
13312.js,1,2.5,1,,,165
138.js,1,1.5,1,,,rename_unweighted Ê Ê Ê Ê Ê Ê 0.997619
1407.js,1,1.375,1,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê 2.186205
17294.js,1,4,1,,,jsjiami_recover_unweightedÊ Ê 1.000000
18831.js,1,4,1,,,
18887.js,1,4,1,,,
19764.js,1,2.5,1,,,
19970.js,1,2,1,,,
20087.js,1,2.5,1,,,
20473.js,1,4,1,,,
20524.js,1,4,1,,,
21.js,1,2.5,1,,,
21552.js,1,2.5,1,,,
22499.js,1,2,1,,,
22516.js,1,2.5,1,,,
24270.js,1,1.2,1,,,
39287.js,1,1.272727273,1,,,
44354.js,1,1.272727273,1,,,
46432.js,1,2.5,1,,,
49662.js,1,4,1,,,
50453.js,1,4,1,,,
50529.js,1,4,1,,,
50562.js,1,4,1,,,
50570.js,1,4,1,,,
50605.js,1,4,1,,,
50674.js,1,4,1,,,
51042.js,1,1.428571429,1,,,
51051.js,1,1.75,1,,,
51153.js,1,1.5,1,,,
51515.js,1,1.6,1,,,
5217.js,1,2,1,,,
5246.js,1,1.3,1,,,
53628.js,1,1.214285714,1,,,
53741.js,1,1.333333333,1,,,
54129.js,1,1.1875,1,,,
54354.js,1,1.3,1,,,
54815.js,1,1.6,1,,,
55287.js,1,1.3,1,,,
55447.js,1,1.076923077,1,,,
55570.js,1,1.333333333,1,,,
5565.js,1,2,1,,,
55685.js,1,1.036585366,1,,,
55856.js,1,1.3,1,,,
56372.js,1,1.5,1,,,
56410.js,1,1.272727273,1,,,
57025.js,1,2.5,1,,,
57449.js,1,2.5,1,,,
57583.js,1,1.111111111,1,,,
57698.js,1,1.5,1,,,
58229.js,1,1.428571429,1,,,
58550.js,1,1.3,1,,,
58570.js,1,2,1,,,
58685.js,1,1.066666667,1,,,
59093.js,1,2.5,1,,,
59099.js,1,2,1,,,
59309.js,1,1.428571429,1,,,
6010.js,1,4,1,,,
60326.js,1,2.5,1,,,
60393.js,1,1.428571429,1,,,
60820.js,1,2.5,1,,,
61022.js,1,2,1,,,
61201.js,1,1.428571429,1,,,
61443.js,1,1.2,1,,,
61603.js,0.857142857,1.428571429,1,,,
61642.js,1,1.375,1,,,
61757.js,1,1.6,1,,,
61902.js,1,1.157894737,1,,,
61999.js,1,1.25,1,,,
62048.js,1,1.6,1,,,
62461.js,0.75,1.75,1,,,
62758.js,1,1.053571429,1,,,
6279.js,1,4,1,,,
63048.js,1,1.6,1,,,
63155.js,1,1.375,1,,,
634.js,1,4,1,,,
63628.js,1,1.176470588,1,,,
6370.js,1,4,1,,,
63757.js,1,1.25,1,,,
64206.js,1,2.5,1,,,
6422.js,1,4,1,,,
64731.js,1,2,1,,,
65321.js,1,1.25,1,,,
66225.js,1,1.25,1,,,
66377.js,1,1.5,1,,,
66394.js,1,1.75,1,,,
67717.js,1,4,1,,,
67918.js,1,2.5,1,,,
6806.js,1,1.428571429,1,,,
68706.js,1,2.5,1,,,
68856.js,1,2.5,1,,,
69578.js,1,2,1,,,
69705.js,1,4,1,,,
70353.js,1,4,1,,,
70748.js,1,4,1,,,
71716.js,1,1.157894737,1,,,
72068.js,1,2.5,1,,,
72470.js,1,2,1,,,
73243.js,1,2,1,,,
7325.js,1,2,1,,,
73442.js,1,2.5,1,,,
7745.js,1,1.230769231,1,,,
79783.js,1,1.6,1,,,
79806.js,1,1.25,1,,,
79827.js,1,1.428571429,1,,,
80121.js,1,2,1,,,
80761.js,1,2.5,1,,,
81381.js,1,1.333333333,1,,,
81439.js,1,1.75,1,,,
82121.js,1,1.6,1,,,
82951.js,1,2.5,1,,,
83042.js,1,2.5,1,,,
83154.js,1,2.5,1,,,
83287.js,1,2.5,1,,,
83510.js,1,2.5,1,,,
83582.js,1,2.5,1,,,
83628.js,1,2.5,1,,,
83881.js,1,1.6,1,,,
84075.js,1,2,1,,,
85769.js,1,2,1,,,
85776.js,1,2,1,,,
86050.js,1,1.6,1,,,
86060.js,1,1.333333333,1,,,
86065.js,1,1.6,1,,,
86436.js,1,2.5,1,,,
86507.js,1,2.5,1,,,
86715.js,1,2.5,1,,,
86735.js,1,1.75,1,,,
86832.js,1,1.375,1,,,
86969.js,1,1.5,1,,,
87389.js,1,4,1,,,
87741.js,1,2.5,1,,,
87950.js,1,2.5,1,,,
88338.js,1,2,1,,,
88368.js,1,1.272727273,1,,,
88669.js,1,2,1,,,
89559.js,1,4,1,,,
90997.js,1,2.5,1,,,
91446.js,1,2,1,,,
91677.js,1,1.6,1,,,
94320.js,1,4,1,,,
94937.js,1,1.428571429,1,,,
95188.js,1,4,1,,,
95304.js,1,4,1,,,
95511.js,1,1.176470588,1,,,
95745.js,1,4,1,,,
96010.js,1,1.5,1,,,
96286.js,1,1.6,1,,,
96412.js,1,1.5,1,,,
96460.js,1,1.6,1,,,
97023.js,1,1.428571429,1,,,
97154.js,1,2.5,1,,,
97966.js,1,1.333333333,1,,,
97999.js,1,1.75,1,,,
9814.js,1,4,1,,,
98605.js,1,1.428571429,1,,,
98893.js,1,1.5,1,,,
98898.js,1,1.375,1,,,
99502.js,1,2.5,1,,,
9958.js,1,4,1,,,
