FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
10007.js,0,1.5,0,,,
100691.js,0,0.6,0,,,
100896.js,0,0.230769231,0,,,
101009.js,0,3,0,,,
101261.js,0,1,0,,,391
104155.js,0,0.75,0,,,rename_unweighted Ê Ê Ê Ê Ê Ê 0.002923
104250.js,0,0.428571429,0,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê 1.248931
11062.js,0,0.2,0,,,jsjiami_recover_unweightedÊ Ê 0.000000
1111.js,0,0.428571429,0,,,
1115.js,0,0.75,0,,,
12627.js,0,0.428571429,0,,,
13025.js,0,3,0,,,
13070.js,0,3,0,,,
13131.js,0,1.5,0,,,
13134.js,0,1,0,,,
13201.js,0,1,0,,,
13312.js,0,1.5,0,,,
13476.js,0,3,0,,,
13501.js,0,3,0,,,
13522.js,0,3,0,,,
13560.js,0,1,0,,,
138.js,0,0.5,0,,,
1407.js,0,0.375,0,,,
17294.js,0,3,0,,,
18831.js,0,3,0,,,
18884.js,0,3,0,,,
18887.js,0,3,0,,,
19194.js,0,3,0,,,
19764.js,0,1.5,0,,,
19942.js,0,3,0,,,
19970.js,0,1,0,,,
19974.js,0,0.6,0,,,
20055.js,0,3,0,,,
20087.js,0,1.5,0,,,
20351.js,0,1,0,,,
20358.js,0,1.5,0,,,
20458.js,0,3,0,,,
20473.js,0,3,0,,,
20481.js,0,3,0,,,
20524.js,0,3,0,,,
20688.js,0,1,0,,,
21.js,0,1.5,0,,,
21552.js,0,1.5,0,,,
21674.js,0,3,0,,,
21744.js,0,3,0,,,
21789.js,0,3,0,,,
21808.js,0,3,0,,,
22074.js,0,3,0,,,
22080.js,0,3,0,,,
22366.js,0,3,0,,,
22499.js,0,1,0,,,
22516.js,0,1.5,0,,,
22586.js,0,3,0,,,
22601.js,0,1,0,,,
24270.js,0,0.2,0,,,
24347.js,0,0.75,0,,,
24432.js,0,0.428571429,0,,,
24438.js,0,0.375,0,,,
29491.js,0,0.272727273,0,,,
39287.js,0,0.272727273,0,,,
4089.js,0,3,0,,,
43149.js,0,0.272727273,0,,,
44354.js,0,0.272727273,0,,,
45545.js,0,3,0,,,
46432.js,0,1.5,0,,,
4861.js,0,0.375,0,,,
48748.js,0,0.428571429,0,,,
48769.js,0,0.5,0,,,
4945.js,0,1,0,,,
49662.js,0,3,0,,,
49663.js,0,3,0,,,
49847.js,0,0.375,0,,,
50341.js,0.5,1.5,0,,,
50453.js,0,3,0,,,
50524.js,0,3,0,,,
50529.js,0,3,0,,,
50552.js,0,3,0,,,
50562.js,0,3,0,,,
50570.js,0,3,0,,,
50605.js,0,3,0,,,
50635.js,0,3,0,,,
50646.js,0,3,0,,,
50674.js,0,3,0,,,
50693.js,0,3,0,,,
51042.js,0,0.428571429,0,,,
51051.js,0,0.75,0,,,
51070.js,0,0.75,0,,,
5111.js,0,3,0,,,
51151.js,0,0.5,0,,,
51153.js,0,0.5,0,,,
51188.js,0,0.5,0,,,
5133.js,0,0.375,0,,,
51515.js,0,0.6,0,,,
51738.js,0,0.75,0,,,
5200.js,0,0.6,0,,,
5213.js,0,0.214285714,0,,,
5217.js,0,1,0,,,
5246.js,0,0.3,0,,,
5259.js,0,0.375,0,,,
5262.js,0,0.428571429,0,,,
5323.js,0,1.5,0,,,
53346.js,0,0.75,0,,,
53380.js,0,0.75,0,,,
53384.js,0,1.5,0,,,
53509.js,0,1.5,0,,,
53531.js,0,1.5,0,,,
53628.js,0,0.214285714,0,,,
53651.js,0,0.214285714,0,,,
53741.js,0,0.333333333,0,,,
54129.js,0,0.1875,0,,,
54354.js,0,0.3,0,,,
54815.js,0,0.6,0,,,
55065.js,0,0.5,0,,,
55073.js,0,0.375,0,,,
55287.js,0,0.3,0,,,
55289.js,0,0.6,0,,,
55447.js,0,0.076923077,0,,,
55483.js,0,0.428571429,0,,,
55570.js,0,0.333333333,0,,,
5565.js,0,1,0,,,
55685.js,0,0.036585366,0,,,
55725.js,0,0.428571429,0,,,
55856.js,0,0.3,0,,,
56047.js,0,0.25,0,,,
56167.js,0,0.5,0,,,
56216.js,0,0.333333333,0,,,
56348.js,0,0.25,0,,,
56372.js,0,0.5,0,,,
56410.js,0,0.272727273,0,,,
5646.js,0,1,0,,,
56467.js,0,0.1875,0,,,
56478.js,0,0.04109589,0,,,
56487.js,0,0.230769231,0,,,
5649.js,0,0.3,0,,,
56727.js,0,0.75,0,,,
