FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
10007.js,1.0,3.0,1.0,1.5
100217.js,-1.0,-1.0,-1.0,-1.0
100402.js,-1.0,-1.0,-1.0,-1.0
100420.js,-1.0,-1.0,-1.0,-1.0
100516.js,1.0,0.5454545454545454,0.2727272727272727,0.2727272727272727
100601.js,-1.0,-1.0,-1.0,-1.0
100610.js,-1.0,-1.0,-1.0,-1.0
100691.js,1.0,1.2,0.2,0.2
10085.js,-1.0,-1.0,-1.0,-1.0
100896.js,1.0,0.6923076923076923,0.38461538461538464,0.38461538461538464
101009.js,1.0,4.0,1.0,1.0
101261.js,1.0,2.0,0.3333333333333333,1.0
101576.js,1.0,1.0,1.0,1.0
101611.js,-1.0,-1.0,-1.0,-1.0
104155.js,1.0,2.0,1.0,1.0
104250.js,1.0,1.1428571428571428,0.5714285714285714,0.5714285714285714
104310.js,-1.0,-1.0,-1.0,-1.0
104333.js,1.0,3.0,1.5,1.5
104359.js,1.0,1.6666666666666667,0.0,1.0
104431.js,1.0,2.0,1.0,0.6666666666666666
104510.js,0.5,2.5,1.0,1.0
10805.js,-1.0,-1.0,-1.0,-1.0
11062.js,1.0,0.4666666666666667,0.2,0.13333333333333333
1111.js,1.0,1.1428571428571428,0.7142857142857143,0.7142857142857143
1115.js,1.0,1.5,0.75,0.75
11245.js,-1.0,-1.0,-1.0,-1.0
1130.js,-1.0,-1.0,-1.0,-1.0
1225.js,1.0,2.0,1.0,0.6666666666666666
1255.js,1.0,1.3333333333333333,0.8333333333333334,0.8333333333333334
12627.js,1.0,1.0,0.42857142857142855,0.42857142857142855
1263.js,-1.0,-1.0,-1.0,-1.0
1281.js,1.0,2.0,1.0,1.0
13025.js,1.0,4.0,1.0,1.0
13048.js,1.0,4.0,1.0,1.0
13070.js,1.0,4.0,1.0,1.0
13131.js,1.0,2.5,1.0,0.0
13134.js,1.0,2.0,1.0,1.0
13201.js,1.0,2.3333333333333335,1.3333333333333333,1.3333333333333333
13312.js,1.0,3.0,1.5,1.5
13476.js,1.0,4.0,1.0,1.0
13501.js,1.0,4.0,1.0,1.0
13522.js,1.0,4.0,1.0,1.0
13554.js,1.0,1.0,1.0,1.0
13560.js,1.0,2.3333333333333335,1.3333333333333333,1.3333333333333333
1363.js,-1.0,-1.0,-1.0,-1.0
13693.js,1.0,1.25,0.25,0.25
138.js,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666
1407.js,1.0,0.875,0.375,0.25
14959.js,1.0,1.0,1.0,1.0
15193.js,1.0,1.0,1.0,1.0
15741.js,1.0,1.0,1.0,1.0
15783.js,1.0,1.0,1.0,1.0
1590.js,1.0,0.2857142857142857,-1.0,-1.0
1616.js,1.0,1.2,0.6,0.6
1689.js,-1.0,-1.0,-1.0,-1.0
17294.js,1.0,4.0,1.0,1.0
