FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
10007.js,1,3,1,1.5,,,
100516.js,1,0.545454545,0.272727273,0.272727273,,,
100691.js,1,1.2,0.2,0.2,,,
100896.js,1,0.692307692,0.384615385,0.384615385,,,
101009.js,1,4,1,1,,,
101261.js,1,2,0.333333333,1,,,666
101576.js,1,1,1,1,,,rename_unweighted Ê Ê Ê Ê Ê Ê Ê Ê 0.991686
104155.js,1,2,1,1,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê Ê Ê 1.923998
104250.js,1,1.142857143,0.571428571,0.571428571,,,jsjiami_recover_unweighted_oldÊ Ê 0.715039
104333.js,1,3,1.5,1.5,,,jsjiami_recover_unweightedÊ Ê Ê Ê 0.713010
104359.js,1,1.666666667,0,1,,,
104431.js,1,2,1,0.666666667,,,
104510.js,0.5,2.5,1,1,,,
11062.js,1,0.466666667,0.2,0.133333333,,,
1111.js,1,1.142857143,0.714285714,0.714285714,,,
1115.js,1,1.5,0.75,0.75,,,
1225.js,1,2,1,0.666666667,,,
1255.js,1,1.333333333,0.833333333,0.833333333,,,
12627.js,1,1,0.428571429,0.428571429,,,
1281.js,1,2,1,1,,,
13025.js,1,4,1,1,,,
13048.js,1,4,1,1,,,
13070.js,1,4,1,1,,,
13131.js,1,2.5,1,0,,,
13134.js,1,2,1,1,,,
13201.js,1,2.333333333,1.333333333,1.333333333,,,
13312.js,1,3,1.5,1.5,,,
13476.js,1,4,1,1,,,
13501.js,1,4,1,1,,,
13522.js,1,4,1,1,,,
13554.js,1,1,1,1,,,
13560.js,1,2.333333333,1.333333333,1.333333333,,,
13693.js,1,1.25,0.25,0.25,,,
138.js,1,1.333333333,0.666666667,0.666666667,,,
1407.js,1,0.875,0.375,0.25,,,
14959.js,1,1,1,1,,,
15193.js,1,1,1,1,,,
15741.js,1,1,1,1,,,
15783.js,1,1,1,1,,,
1616.js,1,1.2,0.6,0.6,,,
17294.js,1,4,1,1,,,
17302.js,1,1,1,1,,,
18831.js,1,4,1,1,,,
18884.js,1,4,1,1,,,
18887.js,1,4,1,1,,,
19194.js,1,4,1,1,,,
19199.js,1,1.333333333,1,1,,,
19742.js,1,1,1,1,,,
19764.js,1,2.5,1,0.5,,,
1988.js,1,3,1.5,1.5,,,
19942.js,1,4,1,1,,,
19970.js,1,1.666666667,0.666666667,0.666666667,,,
19974.js,1,1.2,0.4,0.4,,,
20055.js,1,4,1,1,,,
20087.js,1,2,0.5,0.5,,,
20278.js,1,1,1,1,,,
20351.js,1,2,1.333333333,1,,,
20358.js,1,2.5,0.5,1,,,
20447.js,1,4,1,1,,,
20458.js,1,4,1,1,,,
20473.js,1,4,1,1,,,
20481.js,1,4,1,1,,,
20524.js,1,3,1,1,,,
20688.js,1,2.333333333,1.333333333,1.333333333,,,
21.js,1,3,0.5,0.5,,,
21166.js,1,1.666666667,0.333333333,0.333333333,,,
21552.js,1,3,1,1,,,
21674.js,1,4,1,1,,,
21744.js,1,4,1,1,,,
21789.js,1,4,1,1,,,
218.js,1,1.25,0.75,0.625,,,
21808.js,1,4,1,1,,,
22074.js,1,4,1,1,,,
22080.js,1,4,1,1,,,
22366.js,1,4,1,1,,,
22499.js,1,2,0.666666667,0.666666667,,,
22516.js,1,2.5,0.5,1,,,
22586.js,1,3,1,1,,,
22601.js,1,2,1,0.333333333,,,
23434.js,1,4,1,1,,,
23660.js,1,1,1,1,,,
23866.js,1,1,1,1,,,
23895.js,1,1,1,1,,,
23938.js,1,0.75,0.25,0.25,,,
24171.js,1,1,1,1,,,
24176.js,1,2.5,1,0,,,
24270.js,1,0.933333333,0.666666667,0.666666667,,,
24347.js,1,1.75,0.5,0.5,,,
24432.js,1,1.428571429,0.714285714,0.857142857,,,
24438.js,1,1.375,0.875,0.875,,,
24506.js,1,4,1,1,,,
24615.js,1,2,1.25,1,,,
24860.js,1,4,1,1,,,
24862.js,1,4,1,1,,,
24907.js,1,1.2,0.4,0.4,,,
24913.js,1,2.5,1,0.5,,,
29491.js,1,1.090909091,0.727272727,0.727272727,,,
39287.js,1,1.090909091,0.727272727,0.727272727,,,
4041.js,1,3,1,1,,,
4075.js,1,4,1,1,,,
4089.js,1,3,1,1,,,
4139.js,1,4,1,1,,,
4165.js,1,4,1,1,,,
4307.js,1,1.2,0.6,0.6,,,
43149.js,1,1.090909091,0.727272727,0.727272727,,,
44354.js,1,1.090909091,0.727272727,0.636363636,,,
45485.js,1,1.5,0.75,0.5,,,
45491.js,1,1.5,0.75,0.75,,,
45493.js,1,1.5,0.75,0.5,,,
45502.js,1,1.75,1,1,,,
45505.js,1,1.5,0.5,0.5,,,
45510.js,1,1.5,0.75,0.5,,,
45545.js,1,3,1,1,,,
46432.js,1,3,1.5,1.5,,,
4676.js,1,2,0.666666667,1,,,
4677.js,1,2,1,0.666666667,,,
4698.js,1,2.333333333,1,0.666666667,,,
4764.js,1,0.357142857,0.214285714,0.214285714,,,
4861.js,1,1.375,1,1,,,
48748.js,1,0.857142857,0.428571429,0.428571429,,,
48769.js,1,1.166666667,0.666666667,0.666666667,,,
4945.js,1,2.333333333,1.333333333,1.333333333,,,
49662.js,1,4,1,1,,,
49663.js,1,4,1,1,,,
49711.js,1,4,1,1,,,
49847.js,1,0.75,0.375,0.375,,,
4998.js,1,3,1.5,1,,,
50055.js,1,3,1,1,,,
50084.js,1,3,1,1,,,
50130.js,1,3,1,1,,,
50145.js,1,3,1,1,,,
50198.js,1,3,1,1,,,
50341.js,0.5,2.5,0,1,,,
50345.js,0.5,2.5,0,0,,,
50370.js,0.5,2.5,1,1,,,
50382.js,0.5,2.5,1,0,,,
50402.js,1,3,1,1,,,
50435.js,1,3,1,1,,,
50441.js,1,3,1,1,,,
50453.js,1,3,1,1,,,
50524.js,1,4,1,1,,,
50529.js,1,4,1,1,,,
50552.js,1,4,1,1,,,
50562.js,1,4,1,1,,,
50570.js,1,4,1,1,,,
50600.js,1,2.333333333,1,0.666666667,,,
50605.js,1,3,1,1,,,
50635.js,1,3,1,1,,,
50646.js,1,3,1,1,,,
50674.js,1,3,1,1,,,
50693.js,1,3,1,1,,,
50721.js,1,3,1,1,,,
50732.js,1,3,1,1,,,
50735.js,1,3,1,1,,,
50818.js,1,3,1,1,,,
50889.js,1,3,1,1,,,
51012.js,1,0.824175824,0.78021978,0.78021978,,,
51042.js,1,1.285714286,0.714285714,0.714285714,,,
51051.js,1,1.75,0.75,0.75,,,
51070.js,1,1.75,0.75,0.75,,,
51083.js,1,1.4,0.6,0.6,,,
5111.js,1,5,1,2,,,
51151.js,1,1.333333333,0.666666667,0.5,,,
51153.js,1,1.166666667,0.5,0.333333333,,,
51188.js,1,1.166666667,0.5,0.5,,,
5133.js,1,1.125,0.75,0.625,,,
5134.js,1,0.321428571,0.285714286,0.285714286,,,
51378.js,1,0.909090909,0.545454545,0.454545455,,,
51515.js,1,1.6,0.8,0.6,,,
51603.js,1,0.198019802,0.158415842,0.158415842,,,
51738.js,1,1.75,1,0.75,,,
5200.js,1,1.2,0.4,0.4,,,
5213.js,1,0.5,0.214285714,0.142857143,,,
5214.js,1,0.526315789,0.315789474,0.315789474,,,
5217.js,1,2,1,1,,,
5246.js,1,0.7,0.3,0.4,,,
5259.js,1,0.875,0.375,0.375,,,
5262.js,1,0.857142857,0.428571429,0.285714286,,,
52707.js,1,1,0.428571429,0.428571429,,,
52733.js,1,1.285714286,0.714285714,0.714285714,,,
52883.js,1,0.9,0.5,0.4,,,
53097.js,1,0.333333333,0.212121212,0.212121212,,,
53217.js,1,2,0.75,1,,,
5323.js,1,3,1,1.5,,,
53346.js,1,1.75,0.75,0.75,,,
53380.js,1,2,1,1,,,
53384.js,1,3,1,1,,,
53399.js,1,1.8,1,1,,,
53473.js,1,1.222222222,0.777777778,0.777777778,,,
53509.js,1,3,0.5,1,,,
53531.js,1,3,0.5,1,,,
53628.js,1,1,0.714285714,0.714285714,,,
53651.js,1,0.642857143,0.357142857,0.357142857,,,
53741.js,1,1,0.444444444,0.555555556,,,
53868.js,1,1.230769231,0.923076923,0.923076923,,,
5394.js,1,1.5,0.875,1,,,
5396.js,1,0.956521739,0.847826087,0.869565217,,,
5403.js,1,0.927613941,0.91689008,0.91689008,,,
