FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
10007.js,0,2,0,0.5,,,
100516.js,0,0.454545455,0.727272727,0.727272727,,,
100691.js,0,0.2,0.8,0.8,,,
100896.js,0,0.307692308,0.615384615,0.615384615,,,
101009.js,0,3,0,0,,,
101261.js,0,1,0.666666667,0,,,
101576.js,0,0,0,0,,,
104155.js,0,1,0,0,,,
104250.js,0,0.142857143,0.428571429,0.428571429,,,666
104333.js,0,2,0.5,0.5,,,rename_unweighted Ê Ê Ê Ê Ê Ê Ê Ê 0.008314
104359.js,0,0.666666667,1,0,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê Ê Ê 1.085878
104431.js,0,1,0,0.333333333,,,jsjiami_recover_unweighted_oldÊ Ê 0.321506
104510.js,0.5,1.5,0,0,,,jsjiami_recover_unweightedÊ Ê Ê Ê 0.322876
11062.js,0,0.533333333,0.8,0.866666667,,,
1111.js,0,0.142857143,0.285714286,0.285714286,,,
1115.js,0,0.5,0.25,0.25,,,
1225.js,0,1,0,0.333333333,,,
1255.js,0,0.333333333,0.166666667,0.166666667,,,
12627.js,0,0,0.571428571,0.571428571,,,
1281.js,0,1,0,0,,,
13025.js,0,3,0,0,,,
13048.js,0,3,0,0,,,
13070.js,0,3,0,0,,,
13131.js,0,1.5,0,1,,,
13134.js,0,1,0,0,,,
13201.js,0,1.333333333,0.333333333,0.333333333,,,
13312.js,0,2,0.5,0.5,,,
13476.js,0,3,0,0,,,
13501.js,0,3,0,0,,,
13522.js,0,3,0,0,,,
13554.js,0,0,0,0,,,
13560.js,0,1.333333333,0.333333333,0.333333333,,,
13693.js,0,0.25,0.75,0.75,,,
138.js,0,0.333333333,0.333333333,0.333333333,,,
1407.js,0,0.125,0.625,0.75,,,
14959.js,0,0,0,0,,,
15193.js,0,0,0,0,,,
15741.js,0,0,0,0,,,
15783.js,0,0,0,0,,,
1616.js,0,0.2,0.4,0.4,,,
17294.js,0,3,0,0,,,
17302.js,0,0,0,0,,,
18831.js,0,3,0,0,,,
18884.js,0,3,0,0,,,
18887.js,0,3,0,0,,,
19194.js,0,3,0,0,,,
19199.js,0,0.333333333,0,0,,,
19742.js,0,0,0,0,,,
19764.js,0,1.5,0,0.5,,,
1988.js,0,2,0.5,0.5,,,
19942.js,0,3,0,0,,,
19970.js,0,0.666666667,0.333333333,0.333333333,,,
19974.js,0,0.2,0.6,0.6,,,
20055.js,0,3,0,0,,,
20087.js,0,1,0.5,0.5,,,
20278.js,0,0,0,0,,,
20351.js,0,1,0.333333333,0,,,
20358.js,0,1.5,0.5,0,,,
20447.js,0,3,0,0,,,
20458.js,0,3,0,0,,,
20473.js,0,3,0,0,,,
20481.js,0,3,0,0,,,
20524.js,0,2,0,0,,,
20688.js,0,1.333333333,0.333333333,0.333333333,,,
21.js,0,2,0.5,0.5,,,
21166.js,0,0.666666667,0.666666667,0.666666667,,,
21552.js,0,2,0,0,,,
21674.js,0,3,0,0,,,
21744.js,0,3,0,0,,,
21789.js,0,3,0,0,,,
218.js,0,0.25,0.25,0.375,,,
21808.js,0,3,0,0,,,
22074.js,0,3,0,0,,,
22080.js,0,3,0,0,,,
22366.js,0,3,0,0,,,
22499.js,0,1,0.333333333,0.333333333,,,
22516.js,0,1.5,0.5,0,,,
22586.js,0,2,0,0,,,
22601.js,0,1,0,0.666666667,,,
23434.js,0,3,0,0,,,
23660.js,0,0,0,0,,,
23866.js,0,0,0,0,,,
23895.js,0,0,0,0,,,
23938.js,0,0.25,0.75,0.75,,,
24171.js,0,0,0,0,,,
24176.js,0,1.5,0,1,,,
24270.js,0,0.066666667,0.333333333,0.333333333,,,
24347.js,0,0.75,0.5,0.5,,,
24432.js,0,0.428571429,0.285714286,0.142857143,,,
24438.js,0,0.375,0.125,0.125,,,
24506.js,0,3,0,0,,,
24615.js,0,1,0.25,0,,,
24860.js,0,3,0,0,,,
24862.js,0,3,0,0,,,
24907.js,0,0.2,0.6,0.6,,,
24913.js,0,1.5,0,0.5,,,
29491.js,0,0.090909091,0.272727273,0.272727273,,,
39287.js,0,0.090909091,0.272727273,0.272727273,,,
4041.js,0,2,0,0,,,
4075.js,0,3,0,0,,,
4089.js,0,2,0,0,,,
4139.js,0,3,0,0,,,
4165.js,0,3,0,0,,,
4307.js,0,0.2,0.4,0.4,,,
43149.js,0,0.090909091,0.272727273,0.272727273,,,
44354.js,0,0.090909091,0.272727273,0.363636364,,,
45485.js,0,0.5,0.25,0.5,,,
45491.js,0,0.5,0.25,0.25,,,
45493.js,0,0.5,0.25,0.5,,,
45502.js,0,0.75,0,0,,,
45505.js,0,0.5,0.5,0.5,,,
45510.js,0,0.5,0.25,0.5,,,
45545.js,0,2,0,0,,,
46432.js,0,2,0.5,0.5,,,
4676.js,0,1,0.333333333,0,,,
4677.js,0,1,0,0.333333333,,,
4698.js,0,1.333333333,0,0.333333333,,,
