FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
10007.js,0.611111111,0.15,0.222222222,0.1875,,,
100516.js,0.904761905,0.163636364,0.183673469,0.290322581,,,
100691.js,0.875,0.185185185,0.333333333,0.454545455,,,
100896.js,0.857142857,0.046511628,0.05,0.125,,,
101009.js,0.333333333,0.045454545,0.1,0.333333333,,,
101261.js,1,0.114285714,0.052631579,0.222222222,,,664
101576.js,0.333333333,0.333333333,0.333333333,0.333333333,,,rename_unweighted Ê Ê Ê Ê Ê Ê Ê Ê 0.696135
104155.js,0.714285714,0.12,0.157894737,0.1875,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê Ê Ê 0.134599
104250.js,0.637931034,0.083969466,0.088,0.148648649,,,jsjiami_recover_unweighted_oldÊ Ê 0.173485
104333.js,0.71875,0.07079646,0.074766355,0.156862745,,,jsjiami_recover_unweightedÊ Ê Ê Ê 0.210544
104359.js,0.822222222,0.074712644,0,0.132653061,,,
104431.js,0.785714286,0.159793814,0.164893617,0.316326531,,,
104510.js,0.420454545,0.012977099,0.01308699,0.025835866,,,
11062.js,0.729166667,0.252252252,0.266666667,0.405797101,,,
1111.js,0.555555556,0.243243243,0.290322581,0.333333333,,,
1115.js,0.793103448,0.134615385,0.152173913,0.175,,,
1225.js,0.609756098,0.081632653,0.086956522,0.125,,,
1255.js,0.516129032,0.169014085,0.184615385,0.260869565,,,
12627.js,0.702702703,0.206896552,0.230769231,0.260869565,,,
1281.js,0.666666667,0.050847458,0.051724138,0.088235294,,,
13025.js,0.454545455,0.142857143,0.25,0.307692308,,,
13048.js,0.454545455,0.103448276,0.176470588,0.214285714,,,
13070.js,0.5,0.045454545,0.1,0.2,,,
13131.js,0.375,0.090909091,0.222222222,0,,,
13134.js,0.444444444,0.115384615,0.214285714,0.272727273,,,
13201.js,1,0.230769231,0.3,0.3,,,
13312.js,1,0.136363636,0.1875,0.1875,,,
13476.js,0.75,0.043478261,0.090909091,0.1,,,
13501.js,0.75,0.043478261,0.090909091,0.1,,,
13522.js,0.75,0.043478261,0.090909091,0.090909091,,,
13554.js,0.666666667,0.571428571,0.571428571,0.571428571,,,
13560.js,0.625,0.133333333,0.166666667,0.222222222,,,
13693.js,0.5,0.214285714,0.375,0.4,,,
138.js,0.694444444,0.103448276,0.111111111,0.147540984,,,
1407.js,0.4875,0.091743119,0.097087379,0.12195122,,,
14959.js,1,1,1,1,,,
15741.js,0.833333333,1,1,1,,,
15783.js,1,1,1,1,,,
1616.js,0.666666667,0.095238095,0.097560976,0.122699387,,,
17294.js,1,0.055555556,0.166666667,1,,,
17302.js,1,1,1,1,,,
18831.js,0.466666667,0.090909091,0.125,0.19047619,,,
18884.js,0.529411765,0.113636364,0.15625,0.217391304,,,
18887.js,0.555555556,0.102040816,0.135135135,0.208333333,,,
19194.js,0.666666667,0.222222222,0.8,0.8,,,
19199.js,1,0.25,0.357142857,0.357142857,,,
19742.js,0.2,0.5,0.5,0.5,,,
19764.js,0.692307692,0.151515152,0.185185185,0.238095238,,,
1988.js,0.875,0.075268817,0.08045977,0.112903226,,,
19942.js,1,0.129032258,0.210526316,0.210526316,,,
19970.js,0.818181818,0.148148148,0.19047619,0.19047619,,,
19974.js,0.875,0.147058824,0.227272727,0.238095238,,,
20055.js,0.588235294,0.09375,0.15,0.15,,,
20087.js,0.615384615,0.142857143,0.25,0.235294118,,,
20351.js,1,0.238095238,0.333333333,0.625,,,
20358.js,0.428571429,0.103448276,0.181818182,0.333333333,,,
20447.js,0.333333333,0.047619048,0.125,0.125,,,
20458.js,0.333333333,0.047619048,0.125,0.125,,,
20473.js,0.333333333,0.041666667,0.090909091,0.125,,,
20481.js,0.428571429,0.045454545,0.111111111,0.111111111,,,
20524.js,0.6,0.052631579,0.142857143,0.142857143,,,
20688.js,0.777777778,0.111111111,0.133333333,0.133333333,,,
21.js,0.58490566,0.046153846,0.051282051,0.06122449,,,
21166.js,1,0.260869565,0.6,0.6,,,
21552.js,1,0.130434783,0.3,0.3,,,
21674.js,1,0.0625,0.333333333,0.333333333,,,
21744.js,0.5,0.045454545,0.111111111,0.2,,,
21789.js,1,0.0625,0.333333333,0.333333333,,,
218.js,0.56097561,0.117647059,0.12244898,0.165137615,,,
21808.js,1,0.0625,0.333333333,0.333333333,,,
22074.js,0.647058824,0.117647059,0.181818182,0.19047619,,,
22080.js,0.64,0.111111111,0.151515152,0.15625,,,
22366.js,0.588235294,0.09375,0.15,0.15,,,
22499.js,0.928571429,0.178571429,0.333333333,0.333333333,,,
22516.js,0.8125,0.225806452,0.388888889,0.291666667,,,
22586.js,0.692307692,0.166666667,0.277777778,0.3125,,,
22601.js,0.666666667,0.236842105,0.346153846,0.368421053,,,
23434.js,0.25,0.076923077,0.142857143,0.25,,,
23660.js,1,1,1,1,,,
23866.js,1,1,1,1,,,
23895.js,1,1,1,1,,,
23938.js,0.666666667,0.666666667,0.6,0.6,,,
24171.js,1,0.5,0.5,0.5,,,
24176.js,1,0.066666667,0.5,0,,,
24270.js,1,0.36,0.473684211,0.473684211,,,
