FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe,jsjiami_recover_unweighted
10007.js,1.5,0.0,2.0,1.0,-1.0,0.0
100111.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100402.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100420.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100516.js,0.2727272727272727,0.0,0.36363636363636365,0.6363636363636364,-1.0,0.0
100601.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100610.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100691.js,0.6,0.0,0.8,0.2,-1.0,0.0
10085.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100896.js,0.23076923076923078,0.0,0.3076923076923077,0.6923076923076923,-1.0,0.0
101009.js,3.0,0.0,4.0,3.0,-1.0,0.0
101261.js,1.0,0.0,1.0,0.3333333333333333,-1.0,0.0
101576.js,0.0,-1.0,1.0,3.0,1.0,-1.0
101611.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
102055.js,3.0,0.0,4.0,3.0,-1.0,0.0
102202.js,3.0,0.0,4.0,3.0,-1.0,0.0
104155.js,0.75,0.0,1.0,0.0,-1.0,0.0
104250.js,0.42857142857142855,0.0,1.0,0.42857142857142855,-1.0,0.0
104310.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
104333.js,1.5,0.0,2.0,1.0,-1.0,-1.0
104359.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,-1.0
104431.js,1.0,0.0,10.666666666666666,0.3333333333333333,-1.0,-1.0
104510.js,1.5,0.0,1.0,1.0,-1.0,-1.0
10485.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10805.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11062.js,0.2,0.0,0.26666666666666666,0.7333333333333333,-1.0,0.0
1111.js,0.42857142857142855,0.0,1.0,0.42857142857142855,-1.0,0.0
1115.js,0.75,0.0,1.0,0.0,-1.0,0.0
11216.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11245.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1130.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11429.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,0.0
1225.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,-1.0
12339.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1255.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,-1.0
12627.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,0.0
1263.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1281.js,1.0,0.0,1.6666666666666667,0.3333333333333333,-1.0,-1.0
13025.js,3.0,0.0,4.0,3.0,-1.0,0.0
13048.js,0.0,-1.0,0.0,3.0,0.0,-1.0
13070.js,3.0,0.0,1.0,3.0,-1.0,0.0
13131.js,1.5,0.0,2.0,1.0,-1.0,0.0
13134.js,1.0,0.0,2.3333333333333335,0.3333333333333333,-1.0,0.0
13201.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
13312.js,1.5,0.0,2.0,1.0,-1.0,0.0
13476.js,3.0,0.0,4.0,3.0,-1.0,0.0
13501.js,3.0,0.0,4.0,3.0,-1.0,0.0
13522.js,3.0,0.0,4.0,3.0,-1.0,0.0
13554.js,0.0,-1.0,0.0,1.0,-1.0,-1.0
13560.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
1363.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13693.js,0.75,0.0,1.0,0.0,-1.0,-1.0
138.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,0.0
1407.js,0.375,0.0,0.5,0.5,-1.0,0.0
14959.js,0.0,-1.0,0.0,3.0,0.0,-1.0
14977.js,0.0,-1.0,0.0,1.0,-1.0,-1.0
15193.js,0.0,-1.0,0.0,3.0,0.0,-1.0
15741.js,0.0,-1.0,0.0,3.0,-1.0,-1.0
15783.js,0.0,-1.0,1.0,3.0,0.0,-1.0
1590.js,0.14285714285714285,0.0,1.0,0.8095238095238095,-1.0,-1.0
1616.js,0.6,0.0,1.0,0.2,-1.0,-1.0
1689.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17034.js,0.0,-1.0,0.0,3.0,1.0,-1.0
17041.js,0.0,-1.0,0.0,3.0,1.0,-1.0
17294.js,3.0,0.0,4.0,3.0,-1.0,0.0
17302.js,0.0,-1.0,0.0,3.0,-1.0,-1.0
17395.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17569.js,3.0,0.0,4.0,3.0,-1.0,0.0
1798.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1804.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1836.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18831.js,3.0,0.0,4.0,3.0,-1.0,0.0
18884.js,3.0,0.0,4.0,3.0,-1.0,0.0
18887.js,3.0,0.0,4.0,3.0,-1.0,0.0
1891.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
