FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe,jsjiami_recover_unweighted
101009.js,3.0,2.0,3.0,3.0,4.0,0.0
101261.js,1.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,0.0
102055.js,3.0,2.0,3.0,3.0,5.0,0.0
102202.js,3.0,2.0,3.0,3.0,5.0,0.0
104333.js,2.0,1.5,2.0,1.0,3.5,0.5
104431.js,1.0,0.6666666666666666,10.333333333333334,0.3333333333333333,-1.0,0.3333333333333333
104510.js,1.5,1.0,1.0,1.0,-1.0,0.0
13048.js,3.0,2.0,3.0,3.0,4.0,0.0
13070.js,3.0,2.0,3.0,3.0,-1.0,0.0
13131.js,1.5,1.0,1.5,1.0,-1.0,1.0
13201.js,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,-1.0,0.3333333333333333
13312.js,2.0,1.5,2.0,1.0,-1.0,0.5
13476.js,3.0,2.0,3.0,3.0,-1.0,0.0
13501.js,3.0,2.0,3.0,3.0,-1.0,0.0
13522.js,3.0,2.0,3.0,3.0,-1.0,0.0
13560.js,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333
13693.js,0.25,0.0,1.0,0.0,-1.0,0.75
17294.js,3.0,2.0,3.0,3.0,-1.0,0.0
17569.js,2.0,1.0,2.0,3.0,-1.0,0.0
18831.js,3.0,2.0,3.0,3.0,5.0,0.0
18884.js,3.0,2.0,3.0,3.0,5.0,0.0
18887.js,3.0,2.0,3.0,3.0,5.0,0.0
19764.js,1.5,1.0,2.0,1.0,3.5,0.5
19942.js,3.0,2.0,3.0,3.0,5.0,0.0
19974.js,0.2,0.0,0.2,0.2,0.8,0.6
20055.js,3.0,2.0,3.0,3.0,5.0,0.0
20447.js,3.0,2.0,3.0,3.0,5.0,0.0
20458.js,3.0,2.0,3.0,3.0,5.0,0.0
20473.js,3.0,2.0,3.0,3.0,5.0,0.0
20481.js,3.0,2.0,3.0,3.0,5.0,0.0
20524.js,2.0,1.0,2.0,3.0,3.0,0.0
20688.js,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,-1.0,0.3333333333333333
21166.js,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666
21552.js,2.0,1.5,2.0,1.0,3.5,0.0
21674.js,3.0,2.0,3.0,3.0,5.0,0.0
21744.js,3.0,2.0,3.0,3.0,5.0,0.0
21789.js,3.0,2.0,3.0,3.0,5.0,0.0
21808.js,3.0,2.0,3.0,3.0,5.0,0.0
22074.js,3.0,2.0,3.0,3.0,5.0,0.0
22080.js,3.0,2.0,3.0,3.0,4.0,0.0
22366.js,3.0,2.0,3.0,3.0,-1.0,0.0
22499.js,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,-1.0,0.3333333333333333
22516.js,1.5,1.0,1.0,1.0,3.0,0.0
22586.js,2.0,1.0,2.0,3.0,-1.0,0.0
23434.js,3.0,2.0,3.0,3.0,-1.0,0.0
24176.js,1.5,1.0,1.0,1.0,-1.0,1.0
24506.js,3.0,2.0,3.0,3.0,-1.0,0.0
24615.js,1.0,0.75,1.0,0.0,-1.0,0.0
24862.js,3.0,2.0,3.0,3.0,-1.0,0.0
2496.js,3.0,2.0,3.0,3.0,5.0,0.0
2656.js,0.2,0.0,0.2,0.2,0.8,0.6
3062.js,3.0,2.0,3.0,3.0,5.0,0.0
3354.js,3.0,2.0,3.0,3.0,5.0,0.0
3659.js,3.0,2.0,3.0,3.0,5.0,0.0
3718.js,3.0,2.0,3.0,3.0,5.0,0.0
4041.js,2.0,1.0,2.0,3.0,3.0,0.0
4075.js,3.0,2.0,1.0,3.0,-1.0,0.0
4089.js,2.0,1.0,2.0,3.0,3.0,0.0
4165.js,3.0,2.0,1.0,3.0,5.0,0.0
4307.js,0.2,0.0,0.8,0.2,1.4,0.4
45485.js,0.5,0.25,1.0,0.0,-1.0,0.5
45491.js,0.5,0.25,1.0,0.0,-1.0,0.25
45493.js,0.5,0.25,1.0,0.0,-1.0,0.5
45502.js,0.75,0.5,1.0,0.0,-1.0,0.0
45505.js,0.5,0.25,1.0,0.0,-1.0,0.5
45510.js,0.5,0.25,1.0,0.0,-1.0,0.5
45545.js,2.0,1.0,2.0,3.0,3.0,0.0
4861.js,0.375,0.25,1.0,0.5,1.0,0.0
4945.js,1.3333333333333333,1.0,2.0,0.3333333333333333,3.0,0.3333333333333333
49662.js,3.0,2.0,3.0,3.0,5.0,0.0
49663.js,3.0,2.0,3.0,3.0,5.0,0.0
4998.js,2.0,1.5,5.0,1.0,7.5,0.0
50055.js,2.0,1.0,1.0,3.0,3.0,0.0
50084.js,2.0,1.0,2.0,3.0,3.0,0.0
50130.js,2.0,1.0,2.0,3.0,-1.0,0.0
50145.js,2.0,1.0,2.0,3.0,3.0,0.0
50198.js,2.0,1.0,2.0,3.0,-1.0,0.0
50341.js,1.5,1.0,1.5,1.0,-1.0,0.0
50345.js,1.5,1.0,1.5,1.0,1.5,1.0
50370.js,1.5,1.0,1.5,1.0,1.5,0.0
50382.js,1.5,1.0,1.5,1.0,1.5,1.0
50435.js,2.0,1.0,1.0,3.0,3.0,0.0
50441.js,2.0,1.0,1.0,3.0,3.0,0.0
50453.js,2.0,1.0,1.0,3.0,3.0,0.0
50524.js,3.0,2.0,3.0,3.0,5.0,0.0
50529.js,3.0,2.0,3.0,3.0,5.0,0.0
50552.js,3.0,2.0,3.0,3.0,5.0,0.0
50562.js,3.0,2.0,3.0,3.0,5.0,0.0
50570.js,3.0,2.0,3.0,3.0,5.0,0.0
50605.js,2.0,1.0,2.0,3.0,3.0,0.0
50635.js,2.0,1.0,2.0,3.0,3.0,0.0
50646.js,2.0,1.0,2.0,3.0,3.0,0.0
50674.js,2.0,1.0,2.0,3.0,3.0,0.0
50693.js,2.0,1.0,2.0,3.0,3.0,0.0
50818.js,2.0,1.0,2.0,3.0,3.0,0.0
50889.js,2.0,1.0,2.0,3.0,3.0,0.0
5111.js,4.0,3.0,4.0,3.0,7.0,1.0
5133.js,0.125,0.0,0.375,0.5,0.75,0.375
51803.js,3.0,2.0,3.0,3.0,5.0,0.0
51903.js,3.0,2.0,3.0,3.0,5.0,0.0
5200.js,0.2,0.0,0.4,0.2,1.0,0.6
52115.js,3.0,2.0,3.0,3.0,5.0,0.0
5217.js,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,-1.0,0.0
5246.js,0.3,0.4,0.2,0.6,-1.0,0.6
5259.js,0.125,0.25,0.5,0.5,-1.0,0.625
5262.js,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.42857142857142855,1.0,0.7142857142857143
5323.js,2.0,1.5,1.0,1.0,3.5,0.5
5431.js,0.24390243902439024,0.2682926829268293,1.0,0.902439024390244,-1.0,0.2926829268292683
5449.js,3.0,2.0,3.0,3.0,5.0,0.0
5565.js,1.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,0.0
5649.js,0.3,0.4,0.1,0.6,0.4,0.7
5711.js,0.5,0.5833333333333334,0.5,0.6666666666666666,0.25,0.8333333333333334
57426.js,0.4,0.2,0.4,0.2,0.8,0.0
57449.js,1.0,0.5,1.0,1.0,2.0,0.5
5758.js,0.25,0.375,0.5,0.5,0.875,0.75
57617.js,1.3333333333333333,1.0,1.0,0.3333333333333333,-1.0,0.0
5784.js,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.42857142857142855,1.0,0.14285714285714285
58229.js,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855,-1.0,0.0
58294.js,1.0,0.6666666666666666,1.0,0.3333333333333333,2.0,0.3333333333333333
58550.js,0.1,0.0,0.3,0.6,0.3,0.1
58570.js,1.0,0.6666666666666666,1.0,0.3333333333333333,2.333333333333333,0.0
58616.js,0.125,0.25,0.125,0.5,0.25,0.5
58645.js,0.2,0.0,0.2,0.2,0.4,0.4
58685.js,0.4888888888888889,0.5111111111111111,1.0,0.9111111111111112,0.3111111111111111,0.5333333333333333
5888.js,3.0,2.0,1.0,3.0,5.0,0.0
5905.js,3.0,2.0,3.0,3.0,5.0,0.0
