FileName,ugly,recover,jsdec,illu,sd,safe
100691.js,1.0,1.0,-1.0,1.0,0.21656642762976494,1.0
101009.js,1.0,1.0,-1.0,0.8944271909999159,0.12038585308576921,1.0
102055.js,1.0,1.0,-1.0,1.0,0.09421683286017897,1.0
102202.js,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
104155.js,1.0,1.0,-1.0,1.0,0.1749741181689038,0.926302172234155
104333.js,1.0,1.0,-1.0,1.0,0.4455702945691652,0.9342735856627505
104359.js,1.0,1.0,-1.0,0.9779929962439815,0.45638179436421805,0.9694236130800982
104431.js,1.0,1.0,-1.0,0.9817550484752353,0.49604114903467594,0.9137407984034874
13048.js,1.0,1.0,-1.0,1.0,0.21614823853578016,0.701293708439678
13560.js,1.0,1.0,-1.0,1.0,0.17946978994062196,0.8206518066482898
14959.js,1.0,1.0,-1.0,1.0,0.04316658473017156,0.4364357804719848
15193.js,1.0,1.0,-1.0,1.0,0.05710402407201607,1.0
18831.js,1.0,1.0,-1.0,1.0,0.35543078792335064,0.9494245535078306
18884.js,1.0,1.0,-1.0,1.0,0.35404494924649965,0.9518601451101188
18887.js,1.0,1.0,-1.0,1.0,0.35200244872120406,0.9752330089100024
19742.js,1.0,1.0,-1.0,1.0,0.12670245343199008,0.5547001962252291
19764.js,1.0,1.0,-1.0,1.0,0.26776202996099363,0.9304083928170915
19942.js,1.0,1.0,-1.0,0.9650608087224452,0.2599350243648482,0.8558195228568449
19970.js,1.0,1.0,-1.0,1.0,0.21210066083891685,0.9053541010220679
19974.js,1.0,1.0,-1.0,1.0,0.33305747210199377,0.9782498867943312
20055.js,1.0,1.0,-1.0,1.0,0.26648544566940835,0.926302172234155
20447.js,1.0,1.0,-1.0,1.0,0.16750513727791383,1.0
20458.js,1.0,1.0,-1.0,1.0,0.2054377162259489,0.9051114573693303
20473.js,1.0,1.0,-1.0,1.0,0.2054377162259489,0.9051114573693303
20481.js,1.0,1.0,-1.0,1.0,0.2054377162259489,1.0
20524.js,1.0,1.0,-1.0,1.0,0.15322617553657475,1.0
21552.js,1.0,1.0,-1.0,1.0,0.23574681237784278,0.9478411467100529
21674.js,1.0,1.0,-1.0,1.0,0.10151826501691746,1.0
21744.js,1.0,1.0,-1.0,1.0,0.1318760946791574,1.0
21789.js,1.0,1.0,-1.0,1.0,0.10151826501691746,1.0
21808.js,1.0,1.0,-1.0,1.0,0.10151826501691746,1.0
22074.js,1.0,1.0,-1.0,1.0,0.3290546651011025,0.9467292624062575
22080.js,1.0,1.0,-1.0,0.9942362632324556,0.2832535227310243,0.9661586475831707
22516.js,1.0,1.0,-1.0,1.0,0.26592327067279803,0.2829125760578692
24292.js,1.0,1.0,-1.0,1.0,0.1278657017388143,0.926302172234155
24340.js,1.0,1.0,-1.0,1.0,0.10330506647252728,0.8058229640253802
24347.js,1.0,1.0,-1.0,1.0,0.18526991874495444,0.937384995085559
24371.js,1.0,1.0,-1.0,0.9863939238321437,0.19034674690672027,0.9863939238321437
24432.js,1.0,1.0,-1.0,1.0,0.3159755998651556,0.9307386903980739
24438.js,0.9838709677419355,1.0,-1.0,0.967741935483871,0.24174061031226587,0.9105992006824121
24862.js,1.0,1.0,-1.0,0.9955957870501441,0.5566241299408297,0.9713267711625653
2496.js,1.0,1.0,-1.0,1.0,0.09421683286017897,1.0
2656.js,1.0,1.0,-1.0,1.0,0.20239402624208683,0.9304083928170915
28688.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
28808.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
29258.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
29533.js,1.0,1.0,-1.0,1.0,0.22841609628806428,0.8871697832693638
29651.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
3062.js,1.0,1.0,-1.0,1.0,0.11191907753901595,1.0
3354.js,1.0,1.0,-1.0,1.0,0.10151826501691746,1.0
3659.js,1.0,1.0,-1.0,1.0,0.08633316946034313,1.0
3718.js,1.0,1.0,-1.0,1.0,0.07645528515426074,1.0
38815.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
38970.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
40486.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
4089.js,1.0,1.0,-1.0,0.7559289460184544,0.10151826501691746,0.769800358919501
41351.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
41759.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
42622.js,1.0,1.0,-1.0,1.0,0.22841609628806428,0.8871697832693638
42722.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
42892.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
4307.js,1.0,1.0,-1.0,1.0,0.30219606841935576,0.8357448101873575
43898.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
44169.js,1.0,1.0,-1.0,1.0,0.2054377162259489,0.9284141650970551
44431.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
44471.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
44575.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
44685.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
45063.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
45107.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
45220.js,1.0,1.0,-1.0,1.0,0.21859282926346815,0.865943591361245
45324.js,1.0,1.0,-1.0,1.0,0.22430015382565205,0.8908708063747479
45545.js,1.0,1.0,-1.0,1.0,0.3695676765607734,0.9316772318036984
