FileName,ugly,recover,jsdec,illu,sd,safe
10007.js,1.0,1.0,-1.0,1.0,0.2816117901313898,-1.0
100111.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100402.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100420.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100516.js,1.0,1.0,-1.0,0.954535094805252,0.3983611476019104,-1.0
100601.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100610.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100691.js,1.0,1.0,-1.0,1.0,0.21656642762976494,1.0
10085.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100896.js,1.0,1.0,-1.0,-1.0,0.27966182685271207,-1.0
101009.js,1.0,1.0,-1.0,0.8944271909999159,0.12038585308576921,1.0
101261.js,1.0,1.0,-1.0,-1.0,0.26030430005647975,1.0
101576.js,1.0,1.0,-1.0,-1.0,0.10072203103706698,-1.0
101611.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
102055.js,1.0,1.0,-1.0,1.0,0.09421683286017897,1.0
102202.js,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
104155.js,1.0,1.0,-1.0,1.0,0.1749741181689038,0.926302172234155
104250.js,1.0,1.0,-1.0,-1.0,0.3872583738787929,-1.0
104310.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
104333.js,1.0,1.0,-1.0,1.0,0.4455702945691652,0.9342735856627505
104359.js,1.0,1.0,-1.0,0.9779929962439815,0.45638179436421805,0.9694236130800982
104431.js,1.0,1.0,-1.0,0.9817550484752353,0.49604114903467594,0.9137407984034874
104510.js,0.9990907994394665,1.0,-1.0,-1.0,0.377329018271007,-1.0
10485.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
10805.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
11062.js,1.0,1.0,-1.0,1.0,0.26030430005647975,-1.0
1111.js,1.0,1.0,-1.0,-1.0,0.2771289337670838,-1.0
